Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,592.01,597.5,587.5,588.01,24100
2016-01-18 09:25:00+05:30,588.01,590,588.01,589.62,13750
2016-01-18 09:35:00+05:30,589.62,590,585,585.71,44200
2016-01-18 09:45:00+05:30,585.71,586,583.5,585.88,22280
2016-01-18 09:55:00+05:30,585.88,586.51,584.01,584.4,14920
2016-01-18 10:05:00+05:30,584.4,585.01,583.52,584,17650
2016-01-18 10:15:00+05:30,584,584,583.4,583.4,11790
2016-01-18 10:25:00+05:30,583.4,584,580.12,581.36,12810
2016-01-18 10:35:00+05:30,581.36,584.5,581.15,584.22,31530
2016-01-18 10:45:00+05:30,584.41,587.1,584.41,587.1,50910
2016-01-18 10:55:00+05:30,587.09,589.4,585.88,586.46,19040
2016-01-18 11:05:00+05:30,586.46,589,586.01,588.63,13130
2016-01-18 11:15:00+05:30,588.63,588.63,583.67,583.67,18510
2016-01-18 11:25:00+05:30,583.67,587,583.52,585.74,22920
2016-01-18 11:35:00+05:30,585.5,586.99,585.02,585.77,23170
2016-01-18 11:45:00+05:30,585.77,585.99,582.11,583.11,16310
2016-01-18 11:55:00+05:30,583.11,583.22,581,581.25,16350
2016-01-18 12:05:00+05:30,581.25,582,579.6,580.45,29040
2016-01-18 12:15:00+05:30,580.45,581.36,579.5,579.5,20090
2016-01-18 12:25:00+05:30,579.5,579.99,573.41,573.41,45840
2016-01-18 12:35:00+05:30,573.41,574,568.09,572.06,40520
2016-01-18 12:45:00+05:30,572.06,574.58,570.22,571.24,16700
2016-01-18 12:55:00+05:30,571.24,572.5,570.73,571.2,8190
2016-01-18 13:05:00+05:30,571.2,571.9,570.35,571.35,4800
2016-01-18 13:15:00+05:30,571.35,571.47,567.6,568.5,10840
2016-01-18 13:25:00+05:30,569.05,572.76,568.4,570.6,17570
2016-01-18 13:35:00+05:30,570.6,578,568.51,574.29,55720
2016-01-18 13:45:00+05:30,574.29,577,571.01,571.39,30740
2016-01-18 13:55:00+05:30,571.39,574.9,571.39,572.85,7780
2016-01-18 14:05:00+05:30,572.85,573.58,570.4,571.13,36420
2016-01-18 14:15:00+05:30,571.13,572.5,568.51,569.95,17510
2016-01-18 14:25:00+05:30,570.02,570.13,564.64,565.11,27250
2016-01-18 14:35:00+05:30,565.11,568.61,561.9,561.9,27590
2016-01-18 14:45:00+05:30,561.9,562.9,555.95,558.4,86690
2016-01-18 14:55:00+05:30,558.4,561.29,556.8,557,19780
2016-01-18 15:05:00+05:30,556.85,557,549,549.7,85700
2016-01-18 15:15:00+05:30,550,550,547,549.8,88460
2016-01-18 15:25:00+05:30,549.8,550,547.1,548.8,70330
2016-01-19 09:15:00+05:30,550,550.69,535,538.86,63230
2016-01-19 09:25:00+05:30,538.4,549.33,538.4,545.3,29160
2016-01-19 09:35:00+05:30,545.3,545.52,541.89,543,10590
2016-01-19 09:45:00+05:30,542.26,550.4,541.6,550.4,24200
2016-01-19 09:55:00+05:30,550.4,553.48,548,549.69,19110
2016-01-19 10:05:00+05:30,549.69,557.99,548.94,557.99,52420
2016-01-19 10:15:00+05:30,557.99,563.4,557.5,559,49570
2016-01-19 10:25:00+05:30,559,559,556,556.96,22160
2016-01-19 10:35:00+05:30,556.81,557.1,556,557.1,13250
2016-01-19 10:45:00+05:30,557.1,559,557,558,22550
