Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,126,126,123,123,98
2016-01-18 09:25:00+05:30,122,122,119.05,119.2,452
2016-01-18 09:35:00+05:30,119.2,120.65,118.5,120,1371
2016-01-18 09:45:00+05:30,119.2,120.6,119.2,119.7,100
2016-01-18 09:55:00+05:30,119.7,120,119.7,119.9,88
2016-01-18 10:05:00+05:30,119.9,121,119.8,121,15372
2016-01-18 10:15:00+05:30,121,121,119.25,120,1343
2016-01-18 10:25:00+05:30,120,121,119,119.5,5019
2016-01-18 10:35:00+05:30,119.5,120.15,119.5,120,5967
2016-01-18 10:45:00+05:30,120,120.5,120,120,4210
2016-01-18 10:55:00+05:30,120,120,119.5,120,463
2016-01-18 11:05:00+05:30,120,120.8,119.6,120.6,826
2016-01-18 11:15:00+05:30,120.6,120.8,120.4,120.4,163
2016-01-18 11:25:00+05:30,120.4,120.6,120,120.4,1149
2016-01-18 11:35:00+05:30,120.4,120.6,120.4,120.6,1
2016-01-18 11:45:00+05:30,120.6,120.6,120.1,120.4,9
2016-01-18 11:55:00+05:30,120.4,120.45,120,120.05,680
2016-01-18 12:05:00+05:30,120.05,120.4,120,120.4,245
2016-01-18 12:15:00+05:30,120.4,120.4,120.3,120.3,50
2016-01-18 12:25:00+05:30,120.3,120.35,120.3,120.35,90
2016-01-18 12:35:00+05:30,120.35,120.35,120.1,120.3,129
2016-01-18 12:45:00+05:30,120.3,120.55,120,120,697
2016-01-18 12:55:00+05:30,120,120.4,120,120,600
2016-01-18 13:05:00+05:30,120,120.2,119.5,119.5,1777
2016-01-18 13:15:00+05:30,119.5,119.5,119,119,7291
2016-01-18 13:25:00+05:30,119,119,118.5,119,3615
2016-01-18 13:35:00+05:30,119,120,118.5,119.6,320
2016-01-18 13:45:00+05:30,119.6,120,118.6,120,1250
2016-01-18 13:55:00+05:30,120,120.2,120,120,407
2016-01-18 14:05:00+05:30,120,120.2,119,120.05,378
2016-01-18 14:15:00+05:30,120.05,120.15,120,120.15,19
2016-01-18 14:25:00+05:30,120.2,120.2,119.8,119.8,37
2016-01-18 14:35:00+05:30,119.8,120.2,118.65,119.8,659
2016-01-18 14:45:00+05:30,119.8,120.2,119,119.75,5150
2016-01-18 14:55:00+05:30,119.75,120.2,119.25,120,13362
2016-01-18 15:05:00+05:30,120,120.2,119.7,119.7,1964
2016-01-18 15:15:00+05:30,119.8,120,119.6,120,6408
2016-01-18 15:25:00+05:30,120,121,120,120,490
2016-01-19 09:15:00+05:30,121.2,122,120.4,121.4,66
2016-01-19 09:25:00+05:30,121.4,121.55,120.4,120.65,67
2016-01-19 09:35:00+05:30,120.65,120.95,120.6,120.65,74
2016-01-19 09:45:00+05:30,120.65,120.65,120.6,120.6,269
2016-01-19 09:55:00+05:30,120.6,121.4,120.6,120.8,164
2016-01-19 10:05:00+05:30,120.8,121.8,120.8,120.85,354
2016-01-19 10:15:00+05:30,120.85,121.65,120.75,121.6,526
2016-01-19 10:25:00+05:30,121.6,121.6,121.1,121.1,31
2016-01-19 10:35:00+05:30,121.1,121.1,121,121.05,104
2016-01-19 10:45:00+05:30,121.05,121.05,121.05,121.05,69
