Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,373,376.1,369.1,372.5,1.85854e+06,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,372.25,376.35,371.3,375.05,947096,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,375.05,375.25,370.05,370.1,608489,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,370.05,371.15,366.9,370.9,689696,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,370.9,375.45,370,374.95,644868,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,374.9,378.4,374,378.15,649567,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,378.1,379.2,376.9,378.2,365317,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,378.2,382,378.05,381.35,560116,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,381.5,382,377.75,379.9,891473,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,380,381.8,379.95,381.05,262862,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,381.1,381.35,376.65,378.6,714453,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,378.6,380.9,378,379.9,218817,0,-75.3442,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,379.9,382.5,379.7,380.75,389889,0,-135.743,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,380.6,382.2,380.5,381.3,290098,0.666038,-184.185,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,381.3,381.9,381.05,381.3,296929,0.63048,-223.041,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,381.25,381.7,381.1,381.3,183254,0.794737,-254.213,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,381.3,381.3,377.45,377.85,558621,0.660509,-279.118,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,377.95,381.5,377.4,381.25,395103,0.65,-299.12,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,381.25,383.25,381.1,382.7,452929,0.618182,-315.231,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,382.6,382.7,381.5,382.2,297410,0.601523,-328.198,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,382.2,382.3,378.55,378.95,363791,0.439394,-338.537,0.478217,371.601,385.628,01,1,18
2016-01-18 14:30:00+05:30,870,378.95,378.95,375.5,376.65,493470,0.421307,-346.708,-0.671544,371.989,385.52,01,1,18
2016-01-18 14:45:00+05:30,885,376.65,378,374.25,374.45,449828,0.347926,-353.093,-1.45887,372.779,385.106,01,1,18
2016-01-18 15:00:00+05:30,900,374.65,375.4,370.25,373.15,1.06901e+06,0.367396,-358.032,-2.91608,373.831,384.383,01,1,18
2016-01-18 15:15:00+05:30,915,373.15,374.7,372.9,374.1,442419,0.356436,-361.87,-2.5004,373.942,384.314,01,1,18
2016-01-19 09:15:00+05:30,555,376.9,380,376.6,379.5,588943,0.474747,1600.21,-0.263047,374.136,384.306,01,2,19
2016-01-19 09:30:00+05:30,570,379.25,382.1,378.3,381.7,435261,0.507576,3024.45,0.688732,374.254,384.448,01,2,19
2016-01-19 09:45:00+05:30,585,381.7,387.2,381.7,387.05,862028,0.590551,4029.53,2.6887,373.883,385.304,01,2,19
2016-01-19 10:00:00+05:30,600,387.05,388.9,385.8,387.9,750585,0.601227,4709.62,3.09956,373.296,386.655,01,2,19
2016-01-19 10:15:00+05:30,615,387.9,388,382.3,382.75,765281,0.571428,5139.35,1.61563,373.208,387.085,01,2,19
2016-01-19 10:30:00+05:30,630,382.75,387,382.75,386.65,586137,0.577586,5377.55,1.80101,373.194,387.76,01,2,19
2016-01-19 10:45:00+05:30,645,386.9,387.65,385.95,387.65,262769,0.572052,5470.62,2.07929,373.037,388.665,01,2,19
2016-01-19 11:00:00+05:30,660,387.5,388.25,386.65,386.9,249018,0.567919,5455.13,1.86017,372.865,389.465,01,2,19
2016-01-19 11:15:00+05:30,675,387,390.75,386.95,390.25,592041,0.662824,5359.66,2.11015,372.534,390.594,01,2,19
2016-01-19 11:30:00+05:30,690,390.4,390.95,389.4,389.65,298414,0.69697,5206.63,1.95842,372.245,391.742,01,2,19
2016-01-19 11:45:00+05:30,705,389.75,390,388.15,388.15,368301,0.712074,5013.47,1.46095,372.186,392.541,01,2,19
