Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,1905.6,1905.6,1870,1880,1423
2016-01-18 09:30:00+05:30,1876.05,1880,1866.4,1870,1559
2016-01-18 09:45:00+05:30,1870,1870.95,1866.15,1868.6,869
2016-01-18 10:00:00+05:30,1868.6,1869.65,1866.15,1869,1143
2016-01-18 10:15:00+05:30,1869,1880,1860,1871.75,1374
2016-01-18 10:30:00+05:30,1870,1880,1870,1875.6,1510
2016-01-18 10:45:00+05:30,1875,1880,1875,1875.55,716
2016-01-18 11:00:00+05:30,1875.55,1878.9,1850,1850,2649
2016-01-18 11:15:00+05:30,1850,1850,1830,1839.45,2662
2016-01-18 11:30:00+05:30,1839.45,1839.6,1830.2,1834,3136
2016-01-18 11:45:00+05:30,1830.45,1838.45,1820,1823.95,2218
2016-01-18 12:00:00+05:30,1821.15,1824.2,1806,1817.25,1487
2016-01-18 12:15:00+05:30,1817.25,1817.9,1807.4,1815.65,698
2016-01-18 12:30:00+05:30,1812.5,1821,1811.9,1821,1452
2016-01-18 12:45:00+05:30,1818,1821,1812.3,1818,828
2016-01-18 13:00:00+05:30,1813.05,1818.7,1805,1814.5,1394
2016-01-18 13:15:00+05:30,1814,1821,1813.7,1817.3,1373
2016-01-18 13:30:00+05:30,1814.05,1824.9,1813.65,1814,8285
2016-01-18 13:45:00+05:30,1814,1821.95,1814,1817.9,2102
2016-01-18 14:00:00+05:30,1817,1824.9,1817,1824.9,667
2016-01-18 14:15:00+05:30,1824.9,1839,1817,1833,2451
2016-01-18 14:30:00+05:30,1832.5,1834.7,1821.75,1823,1522
2016-01-18 14:45:00+05:30,1823,1832.2,1816,1828.95,3433
2016-01-18 15:00:00+05:30,1828.95,1839,1824,1830,4812
2016-01-18 15:15:00+05:30,1830,1856.45,1830,1834.15,2466
2016-01-19 09:15:00+05:30,1840,1850,1827.8,1832.6,11823
2016-01-19 09:30:00+05:30,1830.5,1832.45,1825,1830.4,4604
2016-01-19 09:45:00+05:30,1830.4,1853.45,1829,1843.05,1617
2016-01-19 10:00:00+05:30,1843.05,1848.7,1840.15,1845.5,1277
2016-01-19 10:15:00+05:30,1845.5,1851.3,1840,1840,1510
2016-01-19 10:30:00+05:30,1840,1848,1839.95,1842,890
2016-01-19 10:45:00+05:30,1842,1842,1830,1835.1,1198
2016-01-19 11:00:00+05:30,1835.1,1836.3,1831.25,1833.15,449
2016-01-19 11:15:00+05:30,1833.15,1840.1,1833,1837.55,655
2016-01-19 11:30:00+05:30,1837.55,1837.55,1831,1835.15,822
2016-01-19 11:45:00+05:30,1835.15,1842,1835,1835,574
2016-01-19 12:00:00+05:30,1835,1838,1832.1,1834.05,728
2016-01-19 12:15:00+05:30,1834.05,1847.35,1832.55,1847.3,1668
2016-01-19 12:30:00+05:30,1847.3,1849,1839.9,1844.75,2055
2016-01-19 12:45:00+05:30,1844.75,1844.75,1839.25,1840,576
2016-01-19 13:00:00+05:30,1840,1852.2,1840,1846.05,1728
2016-01-19 13:15:00+05:30,1846.05,1851.1,1840,1851.05,1103
2016-01-19 13:30:00+05:30,1851.05,1853,1848.75,1851,1006
2016-01-19 13:45:00+05:30,1851,1852.75,1842.1,1843,901
2016-01-19 14:00:00+05:30,1843,1844.95,1840.15,1843.2,1587
2016-01-19 14:15:00+05:30,1843.2,1850,1833.2,1846.8,1407
2016-01-19 14:30:00+05:30,1846.8,1849.25,1840.05,1843,939
2016-01-19 14:45:00+05:30,1843,1851.55,1841,1850,2340
2016-01-19 15:00:00+05:30,1850,1851.1,1844.25,1845,1989
2016-01-19 15:15:00+05:30,1845,1858,1845,1858,3294
2016-01-20 09:15:00+05:30,1831.6,1843,1826.55,1837,276
2016-01-20 09:30:00+05:30,1837,1842.3,1830,1833,2418
2016-01-20 09:45:00+05:30,1833,1857.85,1831,1857.85,625
2016-01-20 10:00:00+05:30,1857.85,1868,1850.05,1854.8,1185
2016-01-20 10:15:00+05:30,1854.8,1854.8,1843,1847.75,318
2016-01-20 10:30:00+05:30,1847.75,1851.5,1847.65,1849.6,265
2016-01-20 10:45:00+05:30,1849.6,1851,1849.2,1850.4,464
2016-01-20 11:00:00+05:30,1850.5,1853.75,1850.45,1853.7,212
2016-01-20 11:15:00+05:30,1853.7,1857.95,1853.35,1856.5,1123
2016-01-20 11:30:00+05:30,1856.5,1857.95,1851.9,1852.5,514
2016-01-20 11:45:00+05:30,1850,1852.25,1850,1850.1,619
2016-01-20 12:00:00+05:30,1850.1,1850.85,1845,1845.05,326
2016-01-20 12:15:00+05:30,1845.05,1845.35,1842.85,1842.85,230
2016-01-20 12:30:00+05:30,1842.85,1846.85,1840,1845.95,1316
2016-01-20 12:45:00+05:30,1840.1,1848,1840.1,1845,323
2016-01-20 13:00:00+05:30,1845.05,1848,1842.1,1845.4,587
2016-01-20 13:15:00+05:30,1845.4,1847,1842,1845.15,283
2016-01-20 13:30:00+05:30,1845.15,1847.1,1844,1846.25,257
2016-01-20 13:45:00+05:30,1846.25,1846.25,1840.55,1843.3,778
2016-01-20 14:00:00+05:30,1843.3,1846,1840,1845.7,1257
2016-01-20 14:15:00+05:30,1845.7,1847,1842,1844.55,2650
