Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,1905.6,1905.6,1870,1880,1423,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,1876.05,1880,1866.4,1870,1559,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,1870,1870.95,1866.15,1868.6,869,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,1868.6,1869.65,1866.15,1869,1143,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,1869,1880,1860,1871.75,1374,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,1870,1880,1870,1875.6,1510,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,1875,1880,1875,1875.55,716,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,1875.55,1878.9,1850,1850,2649,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,1850,1850,1830,1839.45,2662,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,1839.45,1839.6,1830.2,1834,3136,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,1830.45,1838.45,1820,1823.95,2218,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,1821.15,1824.2,1806,1817.25,1487,0,-371.252,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,1817.25,1817.9,1807.4,1815.65,698,0,-667.005,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,1812.5,1821,1811.9,1821,1452,0.147551,-902.714,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,1818,1821,1812.3,1818,828,0.161017,-1090.43,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,1813.05,1818.7,1805,1814.5,1394,0.156726,-1239.78,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,1814,1821,1813.7,1817.3,1373,0.18165,-1358.65,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,1814.05,1824.9,1813.65,1814,8285,0.146789,-1453.13,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,1814,1821.95,1814,1817.9,2102,0.147311,-1528.31,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,1817,1824.9,1817,1824.9,667,0.214648,-1588.32,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,1824.9,1839,1817,1833,2451,0.380785,-1636.47,-0.411268,1790.42,1887.09,01,1,18
2016-01-18 14:30:00+05:30,870,1832.5,1834.7,1821.75,1823,1522,0.383746,-1674.81,-0.490661,1790.4,1882.54,01,1,18
2016-01-18 14:45:00+05:30,885,1823,1832.2,1816,1828.95,3433,0.464561,-1705.5,-0.466555,1790.5,1878.16,01,1,18
2016-01-18 15:00:00+05:30,900,1828.95,1839,1824,1830,4812,0.548595,-1730.11,-0.0906543,1791.49,1873.45,01,1,18
2016-01-18 15:15:00+05:30,915,1830,1856.45,1830,1834.15,2466,0.641541,-1749.97,0.657725,1793.65,1868.25,01,1,18
2016-01-19 09:15:00+05:30,555,1840,1850,1827.8,1832.6,11823,0.642078,7794.07,0.668014,1797.53,1860.52,01,2,19
2016-01-19 09:30:00+05:30,570,1830.5,1832.45,1825,1830.4,4604,0.583186,14722.1,0.29716,1804.03,1849.27,01,2,19
2016-01-19 09:45:00+05:30,585,1830.4,1853.45,1829,1843.05,1617,0.689342,19611.4,2.02053,1807.4,1844.12,01,2,19
2016-01-19 10:00:00+05:30,600,1843.05,1848.7,1840.15,1845.5,1277,0.738095,22920.1,2.2887,1806.78,1845.24,01,2,19
2016-01-19 10:15:00+05:30,615,1845.5,1851.3,1840,1840,1510,0.667404,25010.7,1.99731,1806.04,1846.89,01,2,19
2016-01-19 10:30:00+05:30,630,1840,1848,1839.95,1842,890,0.710526,26169.7,1.68463,1805.55,1848.97,01,2,19
2016-01-19 10:45:00+05:30,645,1842,1842,1830,1835.1,1198,0.623741,26622.9,0.793746,1806.91,1849.6,01,2,19
2016-01-19 11:00:00+05:30,660,1835.1,1836.3,1831.25,1833.15,449,0.564003,26548.1,0.489649,1808.89,1849.61,01,2,19
2016-01-19 11:15:00+05:30,675,1833.15,1840.1,1833,1837.55,655,0.537449,26084.4,0.778619,1810.27,1850.12,01,2,19
2016-01-19 11:30:00+05:30,690,1837.55,1837.55,1831,1835.15,822,0.614299,25340.6,0.433322,1812,1850.14,01,2,19
2016-01-19 11:45:00+05:30,705,1835.15,1842,1835,1835,574,0.563886,24401.6,0.685329,1815.03,1849.57,01,2,19
2016-01-19 12:00:00+05:30,720,1835,1838,1832.1,1834.05,728,0.542858,23332.7,0.236672,1817.31,1849.03,01,2,19
2016-01-19 12:15:00+05:30,735,1834.05,1847.35,1832.55,1847.3,1668,0.616682,22184.3,1.34575,1819.8,1849.02,01,2,19
2016-01-19 12:30:00+05:30,750,1847.3,1849,1839.9,1844.75,2055,0.605929,20994.8,1.61769,1822.6,1848.88,01,2,19
2016-01-19 12:45:00+05:30,765,1844.75,1844.75,1839.25,1840,576,0.580133,19793.4,0.935996,1824.91,1848.48,01,2,19
2016-01-19 13:00:00+05:30,780,1840,1852.2,1840,1846.05,1728,0.528143,18601.5,1.69237,1825.51,1849.52,01,2,19
2016-01-19 13:15:00+05:30,795,1846.05,1851.1,1840,1851.05,1103,0.549687,17435.1,1.76303,1826.95,1850.17,01,2,19
2016-01-19 13:30:00+05:30,810,1851.05,1853,1848.75,1851,1006,0.609127,16305.3,2.28603,1828.6,1851.05,01,2,19
