Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,592.01,597.5,587.5,589.99,31170,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,589.99,590,585,585.71,50880,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,585.71,586.51,583.5,585.97,32960,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,585.97,585.97,583.52,584,21890,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,584,584,582.28,584,19440,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,584,584.5,580.12,584.22,36690,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,584.41,588.49,584.41,588.47,56960,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,588.47,589.4,585.88,588.63,26120,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,588.63,588.63,583.52,585.24,31920,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,585.24,587,585.02,585.77,32680,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,585.77,585.99,581.4,581.5,27580,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,581.5,582,579.6,580.45,34120,0,-117.066,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,580.45,581.36,578.3,578.48,25090,0,-210.508,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,578.48,578.9,568.09,572.06,81360,0.18839,-284.885,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,572.06,574.58,570.22,571.55,20010,0.216799,-344.054,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,571.55,572,570.35,571.35,9680,0.206897,-391.1,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,571.35,572.76,567.6,570,23130,0.212172,-428.451,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,570,578,568.51,574.29,61000,0.330304,-458.223,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,574.29,577,571.01,573.4,33900,0.315233,-481.919,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,573.4,574.9,570.4,571.13,41040,0.182419,-500.705,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,571.13,572.5,568.51,569.76,23550,0.169064,-515.547,-1.54744,566.617,592.307,01,1,18
2016-01-18 14:30:00+05:30,870,569.76,570,561.9,561.9,48800,0.146149,-527.019,-2.14022,564.45,592.243,01,1,18
2016-01-18 14:45:00+05:30,885,561.9,562.9,555.95,559.46,95080,0.122957,-535.784,-2.50951,561.298,592.806,01,1,18
2016-01-18 15:00:00+05:30,900,559.9,560,549,549.7,97090,0.10624,-542.145,-2.93265,556.931,594.014,01,1,18
2016-01-18 15:15:00+05:30,915,550,550,547,548.8,158790,0.106636,-546.655,-3.02719,552.204,595.258,01,1,18
2016-01-19 09:15:00+05:30,555,550,550.69,535,545.1,85670,0.10224,2438.53,-3.01686,547.013,596.514,01,2,19
2016-01-19 09:30:00+05:30,570,545.1,546.11,541.89,543,17310,0.113974,4605.74,-2.47499,543.05,596.131,01,2,19
2016-01-19 09:45:00+05:30,585,542.26,553.48,541.6,551.8,34280,0.284999,6135.39,-1.67204,541.056,594.225,01,2,19
2016-01-19 10:00:00+05:30,600,551.8,557.99,548,557.99,61450,0.37134,7170.59,-1.0177,540.3,591.867,01,2,19
2016-01-19 10:15:00+05:30,615,557.99,563.4,556,556.1,59990,0.367518,7824.75,-0.577918,540.422,589.002,01,2,19
2016-01-19 10:30:00+05:30,630,556.1,557.3,556,557.1,24990,0.325198,8187.45,-0.637956,540.402,586.405,01,2,19
