Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,126,126,121,121,337,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,121,121,118.5,120,1584,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,119.2,120.6,119.2,120,163,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,120,121,119.8,121,15397,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,121,121,119.25,120,2736,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,120,120.6,119,120,9593,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,120,120.5,119.85,119.9,4220,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,119.9,120.8,119.5,120.6,1279,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,120.6,120.8,120,120,518,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,120,120.6,120,120.6,795,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,120.6,120.6,120,120.05,686,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,120.05,120.4,120,120.4,248,0,-24.0592,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,120.4,120.4,120.3,120.3,50,0,-43.3066,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,120.3,120.35,120.1,120.3,219,0.441667,-58.7047,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,120.3,120.55,120,120,940,0.5,-71.014,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,120,120.4,119.5,119.5,2134,0.456896,-80.8384,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,119.5,119.5,118.5,118.5,10855,0.284482,-88.6475,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,118.5,120,118.5,119.6,371,0.466101,-94.8861,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,119.6,120.2,118.6,120.15,1369,0.511628,-99.8865,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,120.2,120.2,119,120.05,666,0.511628,-103.892,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,120.05,120.2,120,120.1,35,0.456896,-107.102,0.312494,119.223,120.789,01,1,18
2016-01-18 14:30:00+05:30,870,120.1,120.2,118.65,119.8,680,0.481818,-109.665,-1.38743,119.187,120.797,01,1,18
2016-01-18 14:45:00+05:30,885,119.8,120.2,119,119.8,18246,0.418368,-111.713,-0.932203,119.161,120.796,01,1,18
2016-01-18 15:00:00+05:30,900,119.8,120.2,119.7,119.7,2230,0.460673,-113.344,-0.240009,119.175,120.708,01,1,18
2016-01-18 15:15:00+05:30,915,119.8,121,119.6,120,6898,0.454545,-114.653,0.794647,119.175,120.72,01,1,18
2016-01-19 09:15:00+05:30,555,121.2,122,120.4,120.4,97,0.510638,508.634,2.64664,119.118,120.883,01,2,19
2016-01-19 09:30:00+05:30,570,120.4,121.15,120.4,120.65,110,0.535353,961.071,1.85022,119.095,120.972,01,2,19
2016-01-19 09:45:00+05:30,585,120.65,120.75,120.6,120.6,325,0.56383,1280.39,1.52718,119.081,121.021,01,2,19
2016-01-19 10:00:00+05:30,600,120.6,121.8,120.6,120.85,462,0.651685,1496.48,2.33333,119.025,121.159,01,2,19
2016-01-19 10:15:00+05:30,615,120.85,121.65,120.75,121.2,536,0.855262,1633.02,2.32162,118.966,121.297,01,2,19
2016-01-19 10:30:00+05:30,630,121.2,121.25,121,121.05,125,0.754387,1708.71,1.84864,118.936,121.415,01,2,19
2016-01-19 10:45:00+05:30,645,121.05,122.8,121.05,122.8,489,0.827161,1738.29,3.20506,118.747,121.8,01,2,19
2016-01-19 11:00:00+05:30,660,122.8,123.6,121,121.05,1411,0.587719,1733.38,2.19137,118.67,122.031,01,2,19
2016-01-19 11:15:00+05:30,675,121.05,121.1,121,121.05,271,0.584071,1703.09,0.898966,118.684,122.098,01,2,19
2016-01-19 11:30:00+05:30,690,121.05,123.15,121.05,121.9,1053,0.669355,1654.5,1.92547,118.637,122.33,01,2,19
2016-01-19 11:45:00+05:30,705,121.9,122.95,121.75,121.95,85,0.672,1593.15,1.90734,118.64,122.569,01,2,19
2016-01-19 12:00:00+05:30,720,121.95,121.95,121,121.05,963,0.595745,1523.34,0.778314,118.919,122.539,01,2,19
2016-01-19 12:15:00+05:30,735,121.05,121.55,121.05,121.05,98,0.577778,1448.36,0.546464,119.114,122.53,01,2,19
2016-01-19 12:30:00+05:30,750,121.05,121.6,121.05,121.25,158,0.564886,1370.7,0.58933,119.273,122.536,01,2,19
2016-01-19 12:45:00+05:30,765,121.25,121.4,121.2,121.25,111,0.547619,1292.26,0.492135,119.432,122.53,01,2,19
2016-01-19 13:00:00+05:30,780,121.25,122,121.2,121.75,265,0.585186,1214.45,1.01719,119.538,122.578,01,2,19
2016-01-19 13:15:00+05:30,795,121.7,121.9,121.6,121.6,238,0.556391,1138.3,1.02543,119.79,122.541,01,2,19
2016-01-19 13:30:00+05:30,810,121.6,121.6,121.25,121.35,226,0.511451,1064.55,0.328383,120.059,122.446,01,2,19
2016-01-19 13:45:00+05:30,825,121.35,122,121.35,121.55,70,0.537879,993.715,0.730034,120.323,122.359,01,2,19
2016-01-19 14:00:00+05:30,840,121.55,121.6,121.5,121.6,193,0.37755,926.11,0.43428,120.533,122.286,01,2,19
2016-01-19 14:15:00+05:30,855,121.6,121.95,121.4,121.45,934,0.560605,861.938,0.447757,120.591,122.294,01,2,19
2016-01-19 14:30:00+05:30,870,121.45,121.6,121.2,121.6,172,0.57971,801.286,-0.0392221,120.692,122.266,01,2,19
2016-01-19 14:45:00+05:30,885,121.6,122,121.3,121.65,293,0.45283,744.166,0.422745,120.838,122.221,01,2,19
2016-01-19 15:00:00+05:30,900,121.65,122,121.5,121.7,438,0.45283,690.533,0.634623,120.896,122.227,01,2,19
2016-01-19 15:15:00+05:30,915,121.7,122,121.15,122,462,0.731706,640.296,0.502432,120.941,122.234,01,2,19
2016-01-20 09:15:00+05:30,555,121,121,120,120.4,219,0.410959,593.365,-3.71729,120.77,122.342,01,3,20
2016-01-20 09:30:00+05:30,570,120.4,121.4,120,120,200208,0.337663,549.601,-3.09954,120.61,122.327,01,3,20
2016-01-20 09:45:00+05:30,585,120,122.95,120,120.7,2501,0.43956,508.835,-0.68623,120.592,122.278,01,3,20
2016-01-20 10:00:00+05:30,600,120.4,120.6,120,120,1428,0.315789,470.92,-3.26117,120.403,122.382,01,3,20
2016-01-20 10:15:00+05:30,615,120,120.4,119.35,120,1355,0.326087,435.691,-3.23113,120.152,122.422,01,3,20
2016-01-20 10:30:00+05:30,630,120,120,119.8,120,107,0.344828,402.984,-2.53971,119.977,122.368,01,3,20
2016-01-20 10:45:00+05:30,645,120,120,120,120,239,0.313252,372.643,-1.95665,119.809,122.403,01,3,20
2016-01-20 11:00:00+05:30,660,120,120,119.4,119.95,290,0.301205,344.513,-1.93254,119.617,122.451,01,3,20
2016-01-20 11:15:00+05:30,675,119.95,119.95,119.4,119.9,635,0.308642,318.449,-1.6908,119.44,122.473,01,3,20
2016-01-20 11:30:00+05:30,690,119.9,119.9,119.4,119.45,168,0.252873,294.317,-1.66344,119.251,122.492,01,3,20
2016-01-20 11:45:00+05:30,705,119.45,119.8,119.4,119.4,74,0.241379,271.981,-1.53582,119.087,122.445,01,3,20
2016-01-20 12:00:00+05:30,720,119.4,120,119.1,119.1,725,0.217391,251.318,-1.53933,118.929,122.373,01,3,20
2016-01-20 12:15:00+05:30,735,119.1,119.8,119.1,119.7,556,0.265306,232.197,-1.26077,118.806,122.309,01,3,20
2016-01-20 12:30:00+05:30,750,119.7,119.8,119.2,119.3,1656,0.351351,214.514,-1.29097,118.704,122.191,01,3,20
2016-01-20 12:45:00+05:30,765,119.3,119.4,119.25,119.4,285,0.411765,198.162,-1.29427,118.61,122.063,01,3,20
2016-01-20 13:00:00+05:30,780,119.4,119.75,119.3,119.4,480,0.259259,183.044,-1.05269,118.569,121.893,01,3,20
2016-01-20 13:15:00+05:30,795,119.7,119.75,119.6,119.6,27,0.40909,169.065,-0.757344,118.561,121.719,01,3,20
2016-01-20 13:30:00+05:30,810,119.6,119.7,119.4,119.7,60,0.434782,156.141,-0.784756,118.605,121.47,01,3,20
