Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,517,519.5,515.1,517.1,80933
2016-01-18 09:30:00+05:30,517.1,517.5,516.05,517,44164
2016-01-18 09:45:00+05:30,517,518.1,515.95,516.4,48176
2016-01-18 10:00:00+05:30,516.4,518.6,515.5,518,68133
2016-01-18 10:15:00+05:30,518,520.1,518,518.85,87715
2016-01-18 10:30:00+05:30,518.85,519,517.25,517.75,47150
2016-01-18 10:45:00+05:30,517.5,518.45,517,517.75,48840
2016-01-18 11:00:00+05:30,517.75,518.2,517.05,517.75,38383
2016-01-18 11:15:00+05:30,518,518.35,517.4,517.5,28344
2016-01-18 11:30:00+05:30,517.45,518,517.35,517.7,16732
2016-01-18 11:45:00+05:30,517.95,517.95,513.55,513.85,53826
2016-01-18 12:00:00+05:30,514.1,514.1,512.5,513.35,39473
2016-01-18 12:15:00+05:30,513.55,514.55,513.2,514,32025
2016-01-18 12:30:00+05:30,514.2,515.75,514,515.75,47095
2016-01-18 12:45:00+05:30,515.55,517.25,515.5,517.25,60731
2016-01-18 13:00:00+05:30,517.3,517.45,516.1,516.85,30201
2016-01-18 13:15:00+05:30,517.2,517.35,515.8,516.7,45827
2016-01-18 13:30:00+05:30,517.05,518.35,515.8,517.7,129832
2016-01-18 13:45:00+05:30,517.95,519.45,517.6,518.5,99546
2016-01-18 14:00:00+05:30,518.5,518.85,518,518.5,65589
2016-01-18 14:15:00+05:30,518.5,518.85,518,518.15,58223
2016-01-18 14:30:00+05:30,518.15,518.6,516,516.5,92929
2016-01-18 14:45:00+05:30,516.5,517.5,516,516.3,56930
2016-01-18 15:00:00+05:30,516.35,516.85,512.65,512.65,123976
2016-01-18 15:15:00+05:30,512.8,513.45,510.5,511.8,178376
2016-01-19 09:15:00+05:30,514.65,516,514.25,514.75,30245
2016-01-19 09:30:00+05:30,514.75,515.05,514.25,514.25,58739
2016-01-19 09:45:00+05:30,514.25,515.65,513.8,515.25,68193
2016-01-19 10:00:00+05:30,515.45,515.45,513.9,514.65,33216
2016-01-19 10:15:00+05:30,514.65,515.4,514.3,514.65,18178
2016-01-19 10:30:00+05:30,514.65,515.15,514.15,514.7,22100
2016-01-19 10:45:00+05:30,514.5,515.75,514.5,515.4,87403
2016-01-19 11:00:00+05:30,515.4,516.8,514.2,514.6,43891
2016-01-19 11:15:00+05:30,514.6,515,513.15,514.3,102095
2016-01-19 11:30:00+05:30,514.3,515.8,514.1,515.1,50963
2016-01-19 11:45:00+05:30,515.1,515.9,514.15,514.15,16620
2016-01-19 12:00:00+05:30,514.15,515.7,514.15,515.3,15731
2016-01-19 12:15:00+05:30,515.15,515.5,514.5,514.75,29087
2016-01-19 12:30:00+05:30,514.75,515.1,514.25,514.5,16171
2016-01-19 12:45:00+05:30,514.45,516.75,514.2,516.4,66248
2016-01-19 13:00:00+05:30,516.3,518.4,516.3,516.95,116724
2016-01-19 13:15:00+05:30,516.85,517.6,514.75,516.4,48372
2016-01-19 13:30:00+05:30,516.15,518.75,516,518.05,79697
2016-01-19 13:45:00+05:30,518.05,518.7,517.5,517.7,49665
2016-01-19 14:00:00+05:30,517.7,518.5,516.75,518.25,69231
2016-01-19 14:15:00+05:30,518.15,518.55,517.8,518.25,69660
2016-01-19 14:30:00+05:30,518.2,518.45,516.6,517.9,85040
2016-01-19 14:45:00+05:30,517.9,518.5,516.95,518.3,144475
2016-01-19 15:00:00+05:30,518.35,518.75,517.7,518.3,80471
2016-01-19 15:15:00+05:30,518.3,518.65,517.15,518.6,197395
2016-01-20 09:15:00+05:30,512.6,515.1,507.6,508.3,67713
2016-01-20 09:30:00+05:30,508.3,509.25,505,505.15,103198
2016-01-20 09:45:00+05:30,505,507.5,503.95,507.5,22814
2016-01-20 10:00:00+05:30,507.5,508.95,507.25,507.8,26091
2016-01-20 10:15:00+05:30,507.8,508.2,506.1,506.6,17069
2016-01-20 10:30:00+05:30,506.6,507.4,505.3,507.4,46281
2016-01-20 10:45:00+05:30,507.4,508.7,506.8,508.65,30816
2016-01-20 11:00:00+05:30,508.65,509,508.15,508.7,54867
2016-01-20 11:15:00+05:30,508.7,508.75,508,508.2,25706
2016-01-20 11:30:00+05:30,508.25,508.85,507.25,508,64152
2016-01-20 11:45:00+05:30,508,508.35,506,506.35,107078
2016-01-20 12:00:00+05:30,506.35,508.05,505.9,507.75,71389
2016-01-20 12:15:00+05:30,507.75,508.1,506.95,506.95,92039
2016-01-20 12:30:00+05:30,506.9,507,506.05,506.5,130198
2016-01-20 12:45:00+05:30,506.45,506.75,506.3,506.5,93528
2016-01-20 13:00:00+05:30,506.5,506.95,506.2,506.4,36915
2016-01-20 13:15:00+05:30,506.4,507.8,506.25,506.65,87271
2016-01-20 13:30:00+05:30,506.65,507.75,506.4,507.75,35983
2016-01-20 13:45:00+05:30,507.75,508.5,507.3,508.45,84184
2016-01-20 14:00:00+05:30,508.45,508.5,507,507.5,313200
2016-01-20 14:15:00+05:30,507.5,508,506.15,506.75,183699
2016-01-20 14:30:00+05:30,506.75,507.95,506.25,507.3,102749
2016-01-20 14:45:00+05:30,507.3,509.75,506.55,509.75,141122
2016-01-20 15:00:00+05:30,509.8,511.4,509.25,510,218285
2016-01-20 15:15:00+05:30,510,510,506.9,509.25,233509
2016-01-21 09:15:00+05:30,511.25,515.95,509.55,515.1,65437
2016-01-21 09:30:00+05:30,515.1,516.6,513.8,514.5,129505
2016-01-21 09:45:00+05:30,514.5,514.6,512.6,513.35,20382
2016-01-21 10:00:00+05:30,513.45,513.45,512.15,512.45,14949
2016-01-21 10:15:00+05:30,512.45,512.5,511.2,511.45,32318
2016-01-21 10:30:00+05:30,511.45,511.5,508.75,509.25,22805
2016-01-21 10:45:00+05:30,509.25,511.3,509.25,510.75,15095
2016-01-21 11:00:00+05:30,510.75,511,509.5,510.45,12120
2016-01-21 11:15:00+05:30,510.45,511.3,509.9,509.95,27965
2016-01-21 11:30:00+05:30,509.95,510.45,507.55,507.55,19274
2016-01-21 11:45:00+05:30,507.55,507.95,507.25,507.4,73343
2016-01-21 12:00:00+05:30,507.4,508.3,506.75,507.25,31377
2016-01-21 12:15:00+05:30,507.25,508.75,507.25,508.75,24397
2016-01-21 12:30:00+05:30,508.75,508.9,507.5,508.75,31203
2016-01-21 12:45:00+05:30,508.75,508.85,507.5,507.8,34130
2016-01-21 13:00:00+05:30,507.8,508.1,506.75,507.15,48744
2016-01-21 13:15:00+05:30,507.15,509.5,506.9,509,34772
2016-01-21 13:30:00+05:30,509,512.2,509,511.45,44108
2016-01-21 13:45:00+05:30,511.45,512.25,508.95,510.25,43502
2016-01-21 14:00:00+05:30,510.4,511.5,509.6,510.7,93226
2016-01-21 14:15:00+05:30,510.7,511,508.55,510,142356
2016-01-21 14:30:00+05:30,510.15,511.5,509.05,511.05,232520
2016-01-21 14:45:00+05:30,511.05,511.8,510.3,511.45,96789
2016-01-21 15:00:00+05:30,511.45,511.75,510.85,511.5,96476
2016-01-21 15:15:00+05:30,511.5,511.75,510.85,511.5,185453
2016-01-22 09:15:00+05:30,512.35,514.85,512.35,514,26958
2016-01-22 09:30:00+05:30,514,515.25,513.45,514.5,18343
2016-01-22 09:45:00+05:30,514.5,516.5,513.25,516.5,20927
2016-01-22 10:00:00+05:30,516.5,518.15,516.15,517.5,24046
2016-01-22 10:15:00+05:30,517.5,518.9,517,517.75,15473
2016-01-22 10:30:00+05:30,517.75,519.9,517.75,519,18201
2016-01-22 10:45:00+05:30,519,519.85,519,519.5,21663
2016-01-22 11:00:00+05:30,519.4,522.05,519.4,519.5,49039
2016-01-22 11:15:00+05:30,519.5,520.2,519.05,519.95,28357
2016-01-22 11:30:00+05:30,519.95,520.6,519.15,519.35,12678
2016-01-22 11:45:00+05:30,519.35,519.6,517.5,518.25,19645
2016-01-22 12:00:00+05:30,518.25,519.05,517.75,518.6,34387
