Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,517,519.5,515.1,517.1,80933,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,517.1,517.5,516.05,517,44164,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,517,518.1,515.95,516.4,48176,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,516.4,518.6,515.5,518,68133,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,518,520.1,518,518.85,87715,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,518.85,519,517.25,517.75,47150,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,517.5,518.45,517,517.75,48840,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,517.75,518.2,517.05,517.75,38383,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,518,518.35,517.4,517.5,28344,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,517.45,518,517.35,517.7,16732,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,517.95,517.95,513.55,513.85,53826,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,514.1,514.1,512.5,513.35,39473,0,-103.383,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,513.55,514.55,513.2,514,32025,0,-186,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,514.2,515.75,514,515.75,47095,0.441049,-252.072,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,515.55,517.25,515.5,517.25,60731,0.509728,-304.956,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,517.3,517.45,516.1,516.85,30201,0.517785,-347.275,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,517.2,517.35,515.8,516.7,45827,0.441965,-381.134,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,517.05,518.35,515.8,517.7,129832,0.449341,-408.257,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,517.95,519.45,517.6,518.5,99546,0.533937,-430.009,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,518.5,518.85,518,518.5,65589,0.533937,-447.456,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,518.5,518.85,518,518.15,58223,0.517545,-461.441,1.2229,513.998,519.906,01,1,18
2016-01-18 14:30:00+05:30,870,518.15,518.6,516,516.5,92929,0.460938,-472.603,0.064327,514.007,519.915,01,1,18
2016-01-18 14:45:00+05:30,885,516.5,517.5,516,516.3,56930,0.445312,-481.502,-0.307016,513.993,519.907,01,1,18
2016-01-18 15:00:00+05:30,900,516.35,516.85,512.65,512.65,123976,0.452383,-488.485,-2.13217,513.577,519.991,01,1,18
2016-01-18 15:15:00+05:30,915,512.8,513.45,510.5,511.8,178376,0.440155,-493.93,-2.98918,512.749,520.113,01,1,18
2016-01-19 09:15:00+05:30,555,514.65,516,514.25,514.75,30245,0.52459,2187.42,-0.827276,512.623,519.939,01,2,19
2016-01-19 09:30:00+05:30,570,514.75,515.05,514.25,514.25,58739,0.446429,4133.87,-1.0046,512.449,519.791,01,2,19
2016-01-19 09:45:00+05:30,585,514.25,515.65,513.8,515.25,68193,0.425926,5507.65,-0.678795,512.345,519.618,01,2,19
2016-01-19 10:00:00+05:30,600,515.45,515.45,513.9,514.65,33216,0.41971,6437.41,-0.738979,512.243,519.412,01,2,19
2016-01-19 10:15:00+05:30,615,514.65,515.4,514.3,514.65,18178,0.424355,7024.97,-0.593208,512.176,519.189,01,2,19
2016-01-19 10:30:00+05:30,630,514.65,515.15,514.15,514.7,22100,0.380952,7350.79,-0.64669,512.134,519.186,01,2,19
2016-01-19 10:45:00+05:30,645,514.5,515.75,514.5,515.4,87403,0.376001,7478.31,-0.371133,512.388,519.122,01,2,19
2016-01-19 11:00:00+05:30,660,515.4,516.8,514.2,514.6,43891,0.353383,7457.43,-0.444572,512.547,519.091,01,2,19
2016-01-19 11:15:00+05:30,675,514.6,515,513.15,514.3,102095,0.354716,7327.29,-1.12502,512.426,519.11,01,2,19
2016-01-19 11:30:00+05:30,690,514.3,515.8,514.1,515.1,50963,0.443548,7118.46,-0.484001,512.354,519.016,01,2,19
2016-01-19 11:45:00+05:30,705,515.1,515.9,514.15,514.15,16620,0.418252,6854.75,-0.616432,512.267,518.896,01,2,19
2016-01-19 12:00:00+05:30,720,514.15,515.7,514.15,515.3,15731,0.624412,6554.54,-0.343518,512.216,518.79,01,2,19
2016-01-19 12:15:00+05:30,735,515.15,515.5,514.5,514.75,29087,0.642514,6232.01,-0.39001,512.194,518.576,01,2,19
2016-01-19 12:30:00+05:30,750,514.75,515.1,514.25,514.5,16171,0.48366,5897.96,-0.591485,512.328,518.052,01,2,19
2016-01-19 12:45:00+05:30,765,514.45,516.75,514.2,516.4,66248,0.618787,5560.52,0.928463,512.594,517.519,01,2,19
2016-01-19 13:00:00+05:30,780,516.3,518.4,516.3,516.95,116724,0.598839,5225.75,3.12347,512.802,517.2,01,2,19
2016-01-19 13:15:00+05:30,795,516.85,517.6,514.75,516.4,48372,0.60234,4898.13,1.93395,512.884,517.039,01,2,19
2016-01-19 13:30:00+05:30,810,516.15,518.75,516,518.05,79697,0.666667,4580.8,3.57751,512.74,517.284,01,2,19
2016-01-19 13:45:00+05:30,825,518.05,518.7,517.5,517.7,49665,0.642859,4275.96,3.13958,512.644,517.771,01,2,19
2016-01-19 14:00:00+05:30,840,517.7,518.5,516.75,518.25,69231,0.637682,3985.03,2.41952,513.173,517.834,01,2,19
2016-01-19 14:15:00+05:30,855,518.15,518.55,517.8,518.25,69660,0.691105,3708.86,2.26353,513.068,518.258,01,2,19
2016-01-19 14:30:00+05:30,870,518.2,518.45,516.6,517.9,85040,0.687506,3447.84,1.52797,513.144,518.496,01,2,19
2016-01-19 14:45:00+05:30,885,517.9,518.5,516.95,518.3,144475,0.673918,3202.02,1.51231,513.181,518.76,01,2,19
2016-01-19 15:00:00+05:30,900,518.35,518.75,517.7,518.3,80471,0.751518,2971.21,1.55172,513.26,519.04,01,2,19
2016-01-19 15:15:00+05:30,915,518.3,518.65,517.15,518.6,197395,0.722977,2755.04,1.3055,513.376,519.259,01,2,19
2016-01-20 09:15:00+05:30,555,512.6,515.1,507.6,508.3,67713,0.311951,2553.16,-3.60282,512.217,519.984,01,3,20
2016-01-20 09:30:00+05:30,570,508.3,509.25,505,505.15,103198,0.266831,2364.97,-4.48545,509.943,521.384,01,3,20
2016-01-20 09:45:00+05:30,585,505,507.5,503.95,507.5,22814,0.282924,2189.72,-3.50641,508.193,522.245,01,3,20
2016-01-20 10:00:00+05:30,600,507.5,508.95,507.25,507.8,26091,0.274071,2026.71,-2.38306,507.219,522.604,01,3,20
2016-01-20 10:15:00+05:30,615,507.8,508.2,506.1,506.6,17069,0.265548,1875.24,-2.18859,506.075,522.945,01,3,20
2016-01-20 10:30:00+05:30,630,506.6,507.4,505.3,507.4,46281,0.234412,1734.59,-1.85828,505.014,523.202,01,3,20
2016-01-20 10:45:00+05:30,645,507.4,508.7,506.8,508.65,30816,0.284008,1604.09,-1.31302,504.305,523.212,01,3,20
2016-01-20 11:00:00+05:30,660,508.65,509,508.15,508.7,54867,0.266503,1483.06,-1.04707,503.748,523.138,01,3,20
2016-01-20 11:15:00+05:30,675,508.7,508.75,508,508.2,25706,0.260142,1370.91,-0.994385,503.2,523.057,01,3,20
2016-01-20 11:30:00+05:30,690,508.25,508.85,507.25,508,64152,0.262018,1267.02,-0.948933,502.653,522.829,01,3,20
2016-01-20 11:45:00+05:30,705,508,508.35,506,506.35,107078,0.229025,1170.87,-1.06981,502.051,522.399,01,3,20
2016-01-20 12:00:00+05:30,720,506.35,508.05,505.9,507.75,71389,0.275053,1081.87,-0.920005,501.554,521.994,01,3,20
2016-01-20 12:15:00+05:30,735,507.75,508.1,506.95,506.95,92039,0.256785,999.532,-0.833434,501.234,521.288,01,3,20
2016-01-20 12:30:00+05:30,750,506.9,507,506.05,506.5,130198,0.436171,923.386,-0.951278,500.955,520.422,01,3,20
2016-01-20 12:45:00+05:30,765,506.45,506.75,506.3,506.5,93528,0.561644,852.977,-0.907167,500.809,519.436,01,3,20
2016-01-20 13:00:00+05:30,780,506.5,506.95,506.2,506.4,36915,0.436781,787.885,-0.873523,500.883,518.194,01,3,20
2016-01-20 13:15:00+05:30,795,506.4,507.8,506.25,506.65,87271,0.433526,727.713,-0.73379,501.127,516.875,01,3,20
2016-01-20 13:30:00+05:30,810,506.65,507.75,506.4,507.75,35983,0.567251,672.081,-0.545371,501.721,515.219,01,3,20
2016-01-20 13:45:00+05:30,825,507.75,508.5,507.3,508.45,84184,0.562131,620.646,0.0876981,502.92,513.003,01,3,20
2016-01-20 14:00:00+05:30,840,508.45,508.5,507,507.5,313200,0.429449,573.119,0.300703,505.529,509.347,01,3,20
2016-01-20 14:15:00+05:30,855,507.5,508,506.15,506.75,183699,0.38983,529.22,-0.508099,505.892,508.648,01,3,20
2016-01-20 14:30:00+05:30,870,506.75,507.95,506.25,507.3,102749,0.449437,488.664,-0.244405,505.975,508.635,01,3,20
2016-01-20 14:45:00+05:30,885,507.3,509.75,506.55,509.75,141122,0.578475,451.163,2.07806,506.046,508.8,01,3,20
2016-01-20 15:00:00+05:30,900,509.8,511.4,509.25,510,218285,0.687179,416.496,3.62827,505.706,509.362,01,3,20
2016-01-20 15:15:00+05:30,915,510,510,506.9,509.25,233509,0.582417,384.473,1.40595,505.744,509.499,01,3,20
2016-01-21 09:15:00+05:30,555,511.25,515.95,509.55,515.1,65437,0.787984,354.805,5.26465,504.82,511.106,01,4,21
2016-01-21 09:30:00+05:30,570,515.1,516.6,513.8,514.5,129505,0.779721,327.36,4.47237,503.926,512.692,01,4,21
2016-01-21 09:45:00+05:30,585,514.5,514.6,512.6,513.35,20382,0.721682,302.008,2.71051,503.617,513.491,01,4,21
2016-01-21 10:00:00+05:30,600,513.45,513.45,512.15,512.45,14949,0.686155,278.613,1.85752,503.521,514.024,01,4,21
2016-01-21 10:15:00+05:30,615,512.45,512.5,511.2,511.45,32318,0.641177,257.042,1.2056,503.565,514.348,01,4,21
2016-01-21 10:30:00+05:30,630,511.45,511.5,508.75,509.25,22805,0.541436,237.186,0.320974,503.784,514.422,01,4,21
2016-01-21 10:45:00+05:30,645,509.25,511.3,509.25,510.75,15095,0.560846,218.873,0.513307,503.987,514.54,01,4,21
2016-01-21 11:00:00+05:30,660,510.75,511,509.5,510.45,12120,0.580823,201.988,0.40178,504.194,514.631,01,4,21
2016-01-21 11:15:00+05:30,675,510.45,511.3,509.9,509.95,27965,0.58889,186.423,0.360928,504.547,514.665,01,4,21
2016-01-21 11:30:00+05:30,690,509.95,510.45,507.55,507.55,19274,0.506297,172.107,-0.578906,504.819,514.593,01,4,21
2016-01-21 11:45:00+05:30,705,507.55,507.95,507.25,507.4,73343,0.433048,158.929,-1.10982,504.984,514.53,01,4,21
2016-01-21 12:00:00+05:30,720,507.4,508.3,506.75,507.25,31377,0.421203,146.791,-1.18887,505.069,514.498,01,4,21
2016-01-21 12:15:00+05:30,735,507.25,508.75,507.25,508.75,24397,0.486264,135.578,-0.819438,505.199,514.463,01,4,21
2016-01-21 12:30:00+05:30,750,508.75,508.9,507.5,508.75,31203,0.242915,125.219,-0.763542,505.235,514.457,01,4,21
2016-01-21 12:45:00+05:30,765,508.75,508.85,507.5,507.8,34130,0.23622,115.664,-0.956186,505.287,514.443,01,4,21
2016-01-21 13:00:00+05:30,780,507.8,508.1,506.75,507.15,48744,0.245902,106.856,-1.35518,505.35,514.417,01,4,21
2016-01-21 13:15:00+05:30,795,507.15,509.5,506.9,509,34772,0.368821,98.7026,-0.812689,505.537,514.36,01,4,21
2016-01-21 13:30:00+05:30,810,509,512.2,509,511.45,44108,0.5,91.1213,0.456647,505.669,514.448,01,4,21
2016-01-21 13:45:00+05:30,825,511.45,512.25,508.95,510.25,43502,0.536765,84.104,0.226193,505.678,514.465,01,4,21
2016-01-21 14:00:00+05:30,840,510.4,511.5,509.6,510.7,93226,0.498008,77.6067,0.2454,505.812,514.519,01,4,21
2016-01-21 14:15:00+05:30,855,510.7,511,508.55,510,142356,0.482625,71.6075,-0.0814454,505.911,514.052,01,4,21
2016-01-21 14:30:00+05:30,870,510.15,511.5,509.05,511.05,232520,0.54074,66.0533,0.547939,506.374,513.146,01,4,21
2016-01-21 14:45:00+05:30,885,511.05,511.8,510.3,511.45,96789,0.669565,60.9106,1.16843,506.645,512.642,01,4,21
2016-01-21 15:00:00+05:30,900,511.45,511.75,510.85,511.5,96476,0.679824,56.1538,1.41399,506.799,512.356,01,4,21
2016-01-21 15:15:00+05:30,915,511.5,511.75,510.85,511.5,185453,0.688888,51.7587,1.44379,506.832,512.288,01,4,21
2016-01-22 09:15:00+05:30,555,512.35,514.85,512.35,514,26958,0.714285,47.6625,2.82685,506.475,513.035,01,5,22
2016-01-22 09:30:00+05:30,570,514,515.25,513.45,514.5,18343,0.725489,43.8509,2.82089,506.103,513.804,01,5,22
2016-01-22 09:45:00+05:30,585,514.5,516.5,513.25,516.5,20927,0.815217,40.2855,2.88417,505.68,514.737,01,5,22
2016-01-22 10:00:00+05:30,600,516.5,518.15,516.15,517.5,24046,0.865723,36.953,3.16048,505.076,516.029,01,5,22
2016-01-22 10:15:00+05:30,615,517.5,518.9,517,517.75,15473,0.848604,33.8523,2.80675,504.773,517.269,01,5,22
