Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,203.68,207.59,203.64,205.91,1930535
2016-01-18 09:30:00+05:30,205.91,205.95,203.64,204.36,2436521
2016-01-18 09:45:00+05:30,204.36,204.36,199.91,200.41,1799670
2016-01-18 10:00:00+05:30,200.5,200.82,198,200.45,1797527
2016-01-18 10:15:00+05:30,200.36,203.64,200.32,202.95,1493830
2016-01-18 10:30:00+05:30,202.91,204.05,202.5,203.91,1582106
2016-01-18 10:45:00+05:30,203.91,204.95,203.05,203.68,528551
2016-01-18 11:00:00+05:30,203.68,205.45,203.18,204.73,765317
2016-01-18 11:15:00+05:30,204.73,205.32,204.05,204.09,557149
2016-01-18 11:30:00+05:30,204.09,204.55,203.27,203.32,531730
2016-01-18 11:45:00+05:30,203.32,203.45,202.23,202.91,963419
2016-01-18 12:00:00+05:30,202.91,204.55,202.73,203.64,442429
2016-01-18 12:15:00+05:30,203.64,204.09,202.59,202.91,985105
2016-01-18 12:30:00+05:30,202.91,203.73,202.82,203.55,382024
2016-01-18 12:45:00+05:30,203.55,203.73,202.73,203,473127
2016-01-18 13:00:00+05:30,203,203.41,202.5,202.77,615362
2016-01-18 13:15:00+05:30,202.77,202.77,199.64,200.91,1506933
2016-01-18 13:30:00+05:30,201,203.59,200.95,203,577589
2016-01-18 13:45:00+05:30,203.05,204.36,202.91,203.55,780585
2016-01-18 14:00:00+05:30,203.55,204.18,202.82,203.73,2664303
2016-01-18 14:15:00+05:30,203.73,203.73,202.05,202.91,1694989
2016-01-18 14:30:00+05:30,202.95,203,201.18,201.91,755857
2016-01-18 14:45:00+05:30,201.91,202.36,200.82,201.45,698194
2016-01-18 15:00:00+05:30,201.45,202.36,201.05,202.18,1211656
2016-01-18 15:15:00+05:30,202.23,203.86,202.23,203.73,3048815
2016-01-19 09:15:00+05:30,205,207.36,204.55,205.45,1116972
2016-01-19 09:30:00+05:30,205.5,206.91,205.45,206.5,518394
2016-01-19 09:45:00+05:30,206.45,209.64,206.45,209.41,2118891
2016-01-19 10:00:00+05:30,209.27,209.27,207.41,208,486954
2016-01-19 10:15:00+05:30,207.95,208,206.82,207.36,566767
2016-01-19 10:30:00+05:30,207.36,209.68,207.36,209.41,878836
2016-01-19 10:45:00+05:30,209.41,209.82,208.45,209.27,600097
2016-01-19 11:00:00+05:30,209.18,209.27,208.68,209.14,776585
2016-01-19 11:15:00+05:30,209.14,209.5,208.82,209.32,426096
2016-01-19 11:30:00+05:30,209.32,209.41,209,209,183120
2016-01-19 11:45:00+05:30,209.05,209.27,207.91,208.27,648777
2016-01-19 12:00:00+05:30,208.18,209,208.18,208.86,416193
2016-01-19 12:15:00+05:30,208.77,209.55,208.68,209.09,387608
2016-01-19 12:30:00+05:30,209,209.18,208.41,208.95,436629
2016-01-19 12:45:00+05:30,208.91,209.09,208,208.09,435264
2016-01-19 13:00:00+05:30,208.09,209.27,208.05,208.59,705041
2016-01-19 13:15:00+05:30,208.5,209,208.09,208.18,812153
2016-01-19 13:30:00+05:30,208.18,208.36,207.73,208.05,356913
2016-01-19 13:45:00+05:30,208,208.64,207.68,208,373910
2016-01-19 14:00:00+05:30,208,208.64,207.82,208.32,495146
2016-01-19 14:15:00+05:30,208.41,208.5,207.82,208.18,459237
2016-01-19 14:30:00+05:30,208.14,208.18,206.82,207.59,828305
2016-01-19 14:45:00+05:30,207.59,208.64,207.27,208.41,502277
2016-01-19 15:00:00+05:30,208.41,208.41,207.45,207.95,555435
2016-01-19 15:15:00+05:30,207.86,208.95,207.55,208.82,1128704
2016-01-20 09:15:00+05:30,204.09,204.41,201.59,203.09,1791224
2016-01-20 09:30:00+05:30,203.09,203.45,201.09,201.36,1054743
2016-01-20 09:45:00+05:30,201.36,202.86,201.18,202.73,576328
2016-01-20 10:00:00+05:30,202.77,203.41,202.41,202.86,324878
2016-01-20 10:15:00+05:30,202.86,203.64,202.55,203.05,402681
2016-01-20 10:30:00+05:30,203.05,203.18,202.55,202.95,221395
2016-01-20 10:45:00+05:30,202.95,203.18,202.73,202.91,123395
2016-01-20 11:00:00+05:30,202.91,203.09,202.45,202.64,190731
2016-01-20 11:15:00+05:30,202.64,202.95,202.55,202.68,143773
2016-01-20 11:30:00+05:30,202.64,202.91,202.27,202.41,204907
2016-01-20 11:45:00+05:30,202.45,202.86,201.64,201.82,1057522
2016-01-20 12:00:00+05:30,201.95,203,201.59,202.91,632146
2016-01-20 12:15:00+05:30,202.91,202.95,202.18,202.32,184863
