Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,203.68,207.59,203.64,205.91,1.93054e+06,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,205.91,205.95,203.64,204.36,2.43652e+06,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,204.36,204.36,199.91,200.41,1.79967e+06,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,200.5,200.82,198,200.45,1.79753e+06,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,200.36,203.64,200.32,202.95,1.49383e+06,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,202.91,204.05,202.5,203.91,1.58211e+06,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,203.91,204.95,203.05,203.68,528551,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,203.68,205.45,203.18,204.73,765317,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,204.73,205.32,204.05,204.09,557149,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,204.09,204.55,203.27,203.32,531730,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,203.32,203.45,202.23,202.91,963419,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,202.91,204.55,202.73,203.64,442429,0,-40.6727,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,203.64,204.09,202.59,202.91,985105,0,-73.1969,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,202.91,203.73,202.82,203.55,382024,0.416901,-99.2241,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,203.55,203.73,202.73,203,473127,0.448485,-120.036,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,203,203.41,202.5,202.77,615362,0.624473,-136.669,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,202.77,202.77,199.64,200.91,1.50693e+06,0.520354,-149.905,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,201,203.59,200.95,203,577589,0.502296,-160.499,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,203.05,204.36,202.91,203.55,780585,0.482824,-168.995,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,203.55,204.18,202.82,203.73,2.6643e+06,0.502397,-175.814,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,203.73,203.73,202.05,202.91,1.69499e+06,0.410784,-181.264,-0.186087,200.742,205.37,01,1,18
2016-01-18 14:30:00+05:30,870,202.95,203,201.18,201.91,755857,0.39678,-185.589,-1.06526,200.691,205.158,01,1,18
2016-01-18 14:45:00+05:30,885,201.91,202.36,200.82,201.45,698194,0.40878,-189.004,-1.64183,200.689,205.159,01,1,18
2016-01-18 15:00:00+05:30,900,201.45,202.36,201.05,202.18,1.21166e+06,0.465468,-191.722,-1.60813,201.248,204.81,01,1,18
2016-01-18 15:15:00+05:30,915,202.23,203.86,202.23,203.73,3.04882e+06,0.503951,-193.931,0.28281,201.326,204.83,01,1,18
2016-01-19 09:15:00+05:30,555,205,207.36,204.55,205.45,1.11697e+06,0.602585,860.501,3.29494,201.083,205.302,01,2,19
2016-01-19 09:30:00+05:30,570,205.5,206.91,205.45,206.5,518394,0.615324,1625.87,3.26682,200.821,205.804,01,2,19
2016-01-19 09:45:00+05:30,585,206.45,209.64,206.45,209.41,2.11889e+06,0.711551,2165.96,4.34323,200.173,206.857,01,2,19
2016-01-19 10:00:00+05:30,600,209.27,209.27,207.41,208,486954,0.660135,2531.43,3.23106,199.793,207.611,01,2,19
2016-01-19 10:15:00+05:30,615,207.95,208,206.82,207.36,566767,0.713435,2762.33,2.09226,199.659,208.113,01,2,19
2016-01-19 10:30:00+05:30,630,207.36,209.68,207.36,209.41,878836,0.712674,2890.28,2.32717,199.475,208.892,01,2,19
2016-01-19 10:45:00+05:30,645,209.41,209.82,208.45,209.27,600097,0.695089,2940.25,2.05495,199.284,209.637,01,2,19
2016-01-19 11:00:00+05:30,660,209.18,209.27,208.68,209.14,776585,0.685147,2931.88,1.69737,199.247,210.258,01,2,19
2016-01-19 11:15:00+05:30,675,209.14,209.5,208.82,209.32,426096,0.72942,2880.56,1.54214,199.251,210.838,01,2,19
2016-01-19 11:30:00+05:30,690,209.32,209.41,209,209,183120,0.766741,2798.31,1.34822,199.357,211.33,01,2,19
2016-01-19 11:45:00+05:30,705,209.05,209.27,207.91,208.27,648777,0.751475,2694.52,1.0143,199.598,211.648,01,2,19
2016-01-19 12:00:00+05:30,720,208.18,209,208.18,208.86,416193,0.748882,2576.4,0.99462,200.213,211.791,01,2,19
2016-01-19 12:15:00+05:30,735,208.77,209.55,208.68,209.09,387608,0.721487,2449.51,1.06246,200.624,212.039,01,2,19
2016-01-19 12:30:00+05:30,750,209,209.18,208.41,208.95,436629,0.66635,2318.12,0.883894,200.93,212.257,01,2,19
2016-01-19 12:45:00+05:30,765,208.91,209.09,208,208.09,435264,0.57696,2185.42,0.645271,201.296,212.373,01,2,19
2016-01-19 13:00:00+05:30,780,208.09,209.27,208.05,208.59,705041,0.448232,2053.81,0.690525,201.84,212.403,01,2,19
2016-01-19 13:15:00+05:30,795,208.5,209,208.09,208.18,812153,0.513005,1925.01,0.531008,202.683,212.199,01,2,19
2016-01-19 13:30:00+05:30,810,208.18,208.36,207.73,208.05,356913,0.553822,1800.3,0.197153,203.85,211.682,01,2,19
2016-01-19 13:45:00+05:30,825,208,208.64,207.68,208,373910,0.340136,1680.5,0.0294958,205.25,210.907,01,2,19
2016-01-19 14:00:00+05:30,840,208,208.64,207.82,208.32,495146,0.396515,1566.18,-0.109362,206.556,210.1,01,2,19
2016-01-19 14:15:00+05:30,855,208.41,208.5,207.82,208.18,459237,0.395652,1457.67,-0.59364,207.106,209.787,01,2,19
2016-01-19 14:30:00+05:30,870,208.14,208.18,206.82,207.59,828305,0.327345,1355.11,-2.40668,207.501,209.517,01,2,19
2016-01-19 14:45:00+05:30,885,207.59,208.64,207.27,208.41,502277,0.446461,1258.53,-0.901233,207.466,209.513,01,2,19
2016-01-19 15:00:00+05:30,900,208.41,208.41,207.45,207.95,555435,0.469465,1167.85,-1.22738,207.429,209.52,01,2,19
2016-01-19 15:15:00+05:30,915,207.86,208.95,207.55,208.82,1.1287e+06,0.496377,1082.91,-0.222862,207.606,209.448,01,2,19
2016-01-20 09:15:00+05:30,555,204.09,204.41,201.59,203.09,1.79122e+06,0.227769,1003.6,-7.72612,205.68,210.795,01,3,20
2016-01-20 09:30:00+05:30,570,203.09,203.45,201.09,201.36,1.05474e+06,0.19905,929.687,-5.32255,204.175,211.579,01,3,20
2016-01-20 09:45:00+05:30,585,201.36,202.86,201.18,202.73,576328,0.295732,860.861,-3.43635,203.145,211.932,01,3,20
