Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,678,682.95,673.65,681.85,106266,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,681.85,681.85,677.1,677.3,29962,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,677.3,678.3,675,676,22559,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,676,678.5,673.65,677.8,33716,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,678.5,680.5,676.7,678.75,29274,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,678.75,682,676.95,681.85,17800,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,681.85,682.45,679,682.4,26692,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,682.4,683.45,679.75,681.45,47676,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,681.45,682.35,679,680.5,34732,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,680.7,682.3,679.75,681,25171,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,681,681.9,674.55,677.1,58261,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,677.1,680.35,675.8,679.4,23020,0,-135.923,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,679.25,682.45,679.15,680.75,21674,0,-244.697,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,680.5,683.7,680.3,682.95,21622,0.522542,-331.813,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,682.95,683.45,680.55,681.9,20857,0.610048,-401.556,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,681.9,686.35,670,679.5,713425,0.579545,-457.318,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,679.3,679.5,671.5,673.5,145613,0.41794,-501.717,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,673.5,677.7,664.9,668.95,219226,0.335571,-536.917,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,668.95,675,668.95,675,75284,0.395421,-564.994,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,675,675,672.45,674.9,51199,0.383901,-587.381,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,674.9,675,672,674,48338,0.384496,-605.201,-1.60072,671.474,684.664,01,1,18
2016-01-18 14:30:00+05:30,870,674,675,671.25,671.5,93481,0.366864,-619.303,-1.70856,670.758,684.764,01,1,18
2016-01-18 14:45:00+05:30,885,671.5,672.8,669,671.75,89516,0.362146,-630.463,-1.88771,669.944,685.052,01,1,18
2016-01-18 15:00:00+05:30,900,671.75,672.4,664.4,666.45,140814,0.34764,-639.125,-2.39818,668.385,685.721,01,1,18
2016-01-18 15:15:00+05:30,915,666.25,670,665.75,667.8,109858,0.329411,-645.871,-2.00835,667.006,686.021,01,1,18
2016-01-19 09:15:00+05:30,555,672,674,667.65,669.55,38967,0.337209,2867.61,-1.26815,666.32,685.72,01,2,19
2016-01-19 09:30:00+05:30,570,669.55,672,669.4,670.05,31617,0.302752,5418.11,-1.13785,665.81,685.15,01,2,19
2016-01-19 09:45:00+05:30,585,670.05,675.1,670.05,674.65,50414,0.4,7218.15,-0.437152,665.769,684.363,01,2,19
2016-01-19 10:00:00+05:30,600,674.65,674.65,671,673.35,27237,0.412517,8436.35,-0.438575,665.71,683.66,01,2,19
2016-01-19 10:15:00+05:30,615,673.35,674.35,671.35,671.7,13178,0.470779,9206.17,-0.510492,665.727,682.788,01,2,19
2016-01-19 10:30:00+05:30,630,671.7,672.25,664,666.5,67236,0.461049,9633.1,-1.76322,664.91,682.579,01,2,19
