Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,738.57,739.57,720.9,727.7,438823
2016-01-18 09:30:00+05:30,728,728.33,721.33,726,262814
2016-01-18 09:45:00+05:30,726,726.17,722.7,723.47,178203
2016-01-18 10:00:00+05:30,723.47,723.93,718.43,719,260324
2016-01-18 10:15:00+05:30,719,723.83,716.07,721.3,353627
2016-01-18 10:30:00+05:30,721.3,725.27,720.53,724.6,151516
2016-01-18 10:45:00+05:30,724.6,726.57,724.17,725.6,137835
2016-01-18 11:00:00+05:30,725.6,726.33,724.53,725.37,110210
2016-01-18 11:15:00+05:30,725.37,725.97,723.93,725.37,88709
2016-01-18 11:30:00+05:30,725.37,725.93,724.67,725.13,55317
2016-01-18 11:45:00+05:30,725.07,727.9,724.53,725.53,130544
2016-01-18 12:00:00+05:30,725.53,730.6,725.33,729.2,170624
2016-01-18 12:15:00+05:30,729,729,725.83,726.67,120203
2016-01-18 12:30:00+05:30,726.67,728.87,725.5,726.67,71544
2016-01-18 12:45:00+05:30,726.63,728,725.53,726.67,99803
2016-01-18 13:00:00+05:30,726.67,726.67,724.73,725.33,95436
2016-01-18 13:15:00+05:30,725.33,725.33,720.67,722,157079
2016-01-18 13:30:00+05:30,722.17,728.77,721.67,727.8,128171
2016-01-18 13:45:00+05:30,727.77,729.27,727.07,728.67,87887
2016-01-18 14:00:00+05:30,728.67,729.17,725.13,726.47,94390
2016-01-18 14:15:00+05:30,726.47,726.67,725.13,726.4,78886
2016-01-18 14:30:00+05:30,726.4,726.63,724.13,724.43,127482
2016-01-18 14:45:00+05:30,724.43,725.33,720.83,721.27,202197
2016-01-18 15:00:00+05:30,721.33,723.97,721.1,722.57,274784
2016-01-18 15:15:00+05:30,722.6,724.5,718.77,718.77,284604
2016-01-19 09:15:00+05:30,724.5,724.97,712.83,720.3,391151
2016-01-19 09:30:00+05:30,720,721.17,714.13,720.47,209561
2016-01-19 09:45:00+05:30,720.47,726.67,720.07,726.17,196708
2016-01-19 10:00:00+05:30,726,726.47,722.2,726.3,97619
2016-01-19 10:15:00+05:30,726.03,729.27,723.57,725.1,167498
2016-01-19 10:30:00+05:30,725.33,737.07,725.1,734.33,241947
2016-01-19 10:45:00+05:30,734.33,736.57,733.03,735.17,153632
2016-01-19 11:00:00+05:30,734.73,736.37,733.27,734.6,58002
2016-01-19 11:15:00+05:30,734.13,734.67,731.3,734.23,83169
2016-01-19 11:30:00+05:30,734.1,740.93,733.4,738.83,186989
2016-01-19 11:45:00+05:30,738.83,742.27,736.07,736.27,158265
2016-01-19 12:00:00+05:30,736.27,742,736.27,741.67,91254
2016-01-19 12:15:00+05:30,741.83,745.83,741,743.57,223940
2016-01-19 12:30:00+05:30,743.6,747.33,742.93,746.43,172867
2016-01-19 12:45:00+05:30,746.43,746.47,744.47,745.33,106901
2016-01-19 13:00:00+05:30,745.2,749.6,745.2,747.43,200748
2016-01-19 13:15:00+05:30,747.43,749.97,747,749.67,113175
2016-01-19 13:30:00+05:30,749.43,750,747.4,748.53,133909
2016-01-19 13:45:00+05:30,748.53,753.07,748.53,752.33,219142
2016-01-19 14:00:00+05:30,752.23,753.33,749.17,753.33,206721
2016-01-19 14:15:00+05:30,753.33,754.93,751.4,752,143554
2016-01-19 14:30:00+05:30,751.97,752.67,744.03,747.97,233704
2016-01-19 14:45:00+05:30,747.7,750,747.1,748.5,115704
2016-01-19 15:00:00+05:30,748.47,751.27,747.37,747.73,180150
2016-01-19 15:15:00+05:30,747.87,750.97,746.67,747.33,278806
2016-01-20 09:15:00+05:30,732.87,733,718.67,723.27,448006
2016-01-20 09:30:00+05:30,723.27,725.63,720.73,723.87,190357
2016-01-20 09:45:00+05:30,723.87,724.6,721.43,724.33,111980
2016-01-20 10:00:00+05:30,724.33,726.67,722.1,723.5,129222
2016-01-20 10:15:00+05:30,723.5,729.57,722.33,726.97,224629
2016-01-20 10:30:00+05:30,726.97,727.67,724,726.8,145423
2016-01-20 10:45:00+05:30,726.77,727.13,724.67,726,108097
