Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,137.2,138.05,135.75,137.6,64035,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,137.65,137.8,135.95,137.1,48833,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,137.1,137.2,136,136.2,31783,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,136.2,136.4,134.25,134.7,67209,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,134.7,135.65,134.3,135,63102,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,135.05,135.8,135.05,135.55,67741,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,135.55,136.75,135.35,136.7,105278,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,136.75,137.4,136.4,137.25,70234,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,137.35,137.5,136.7,137.2,90874,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,137.25,137.6,137.2,137.2,47344,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,137.2,137.2,135.95,136.15,56736,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,136.15,136.15,134.8,134.9,50022,0,-27.2592,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,134.9,135.55,134.7,134.9,57662,0,-49.0236,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,134.9,135.15,134.45,134.95,49561,0.33121,-66.4003,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,134.95,135.3,134.5,134.9,88299,0.351351,-80.2706,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,134.9,134.95,134.3,134.3,25671,0.366198,-91.3223,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,134.3,134.4,132.35,132.35,107417,0.344372,-100.066,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,132.4,133.85,132.4,133.2,71801,0.388889,-107.004,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,133.2,133.8,132.75,133.2,78389,0.34437,-112.507,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,133.2,133.4,132,132.25,102586,0.197279,-116.839,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,132.25,132.35,132,132.35,123912,0.144928,-120.249,-2.29726,131.999,138.2,01,1,18
2016-01-18 14:30:00+05:30,870,132.3,132.75,132.05,132.7,88532,0.187499,-122.94,-1.8381,131.701,138.052,01,1,18
2016-01-18 14:45:00+05:30,885,132.65,132.7,131.6,131.65,85779,0.163636,-125.03,-1.9061,131.328,137.977,01,1,18
2016-01-18 15:00:00+05:30,900,131.55,131.75,130.8,130.95,97508,0.170885,-126.627,-2.08474,130.811,138.099,01,1,18
2016-01-18 15:15:00+05:30,915,130.9,133.5,130.8,133.3,317580,0.411111,-127.913,-1.08432,130.604,138.061,01,1,18
2016-01-19 09:15:00+05:30,555,132.3,133.55,132.1,133.2,85380,0.406593,571.003,-0.751744,130.47,137.944,01,2,19
2016-01-19 09:30:00+05:30,570,133.3,133.95,132.9,133.6,29952,0.428572,1078.33,-0.367189,130.442,137.693,01,2,19
2016-01-19 09:45:00+05:30,585,133.6,134.6,133.5,133.9,60487,0.448454,1436.38,0.0584799,130.553,137.28,01,2,19
2016-01-19 10:00:00+05:30,600,134,134.4,133.85,134.3,22155,0.5,1678.66,0.327989,130.741,136.798,01,2,19
2016-01-19 10:15:00+05:30,615,134.3,134.4,133.9,134.25,47320,0.625,1831.75,0.524703,131.049,136.174,01,2,19
2016-01-19 10:30:00+05:30,630,134.25,134.7,134.15,134.15,46855,0.569343,1916.6,0.84873,131.263,135.75,01,2,19
2016-01-19 10:45:00+05:30,645,134.15,134.4,134.15,134.15,32959,0.569343,1949.77,0.847684,131.334,135.575,01,2,19
2016-01-19 11:00:00+05:30,660,134.15,134.4,133.9,134.2,345671,0.663865,1944.26,0.864759,131.39,135.43,01,2,19
2016-01-19 11:15:00+05:30,675,134.2,134.7,134.15,134.35,47822,0.666666,1910.27,1.18768,131.423,135.352,01,2,19
2016-01-19 11:30:00+05:30,690,134.35,134.45,134.15,134.15,47726,0.62393,1855.78,1.09146,131.472,135.238,01,2,19
2016-01-19 11:45:00+05:30,705,134.15,135.85,134.15,134.75,84839,0.787035,1786.97,1.83532,131.435,135.315,01,2,19
2016-01-19 12:00:00+05:30,720,134.75,134.9,134.15,134.15,44840,0.801883,1708.67,1.10299,131.46,135.426,01,2,19
2016-01-19 12:15:00+05:30,735,134.15,135.3,134.15,134.2,66220,0.649996,1624.56,1.15571,131.479,135.548,01,2,19
2016-01-19 12:30:00+05:30,750,134.2,134.85,134.15,134.85,59570,0.732391,1537.44,1.11852,131.496,135.668,01,2,19
2016-01-19 12:45:00+05:30,765,134.85,134.85,134.15,134.15,60022,0.571426,1449.45,0.801054,131.616,135.731,01,2,19
2016-01-19 13:00:00+05:30,780,134.15,134.6,134.15,134.4,47139,0.565788,1362.18,0.746747,131.813,135.749,01,2,19
2016-01-19 13:15:00+05:30,795,134.4,134.4,134.1,134.15,55755,0.479451,1276.77,0.484989,131.982,135.752,01,2,19
2016-01-19 13:30:00+05:30,810,134.15,134.3,134.05,134.15,37714,0.486111,1194.06,0.330737,132.298,135.653,01,2,19
2016-01-19 13:45:00+05:30,825,134.15,134.4,134.15,134.15,44125,0.5,1114.61,0.293417,133.054,135.204,01,2,19
2016-01-19 14:00:00+05:30,840,134.15,134.4,134.05,134.15,57017,0.5,1038.8,-0.0528203,133.426,134.999,01,2,19
2016-01-19 14:15:00+05:30,855,134.15,134.4,134.1,134.3,58691,0.513889,966.825,-0.0663945,133.746,134.811,01,2,19
2016-01-19 14:30:00+05:30,870,134.3,134.55,134,134.2,110335,0.478872,898.803,-0.459754,133.928,134.706,01,2,19
2016-01-19 14:45:00+05:30,885,134.2,134.45,134.1,134.45,133130,0.541667,834.74,1.73833e-05,133.972,134.694,01,2,19
2016-01-19 15:00:00+05:30,900,134.45,135.35,134.15,134.15,171969,0.409091,774.592,1.43028,133.986,134.718,01,2,19
2016-01-19 15:15:00+05:30,915,134.2,135,134.15,134.7,207820,0.584615,718.25,1.67047,133.999,134.748,01,2,19
2016-01-20 09:15:00+05:30,555,133.05,133.75,130.95,132.2,90186,0.324563,665.626,-8.10272,133.293,135.251,01,3,20
2016-01-20 09:30:00+05:30,570,132.2,133.45,131.95,132.9,135731,0.330435,616.542,-4.21906,133.019,135.377,01,3,20
2016-01-20 09:45:00+05:30,585,132.8,133.6,132.75,133.2,102388,0.411216,570.819,-2.30097,132.89,135.408,01,3,20
2016-01-20 10:00:00+05:30,600,133.2,133.7,132.75,133.3,121193,0.394232,528.279,-1.72945,132.78,135.404,01,3,20
2016-01-20 10:15:00+05:30,615,133.3,134.05,133.1,133.7,59054,0.457944,488.737,-0.855299,132.734,135.386,01,3,20
2016-01-20 10:30:00+05:30,630,133.7,133.85,133.1,133.5,72530,0.441442,452.02,-0.947459,132.701,135.276,01,3,20
2016-01-20 10:45:00+05:30,645,133.5,133.75,133.05,133.75,61385,0.465518,417.95,-0.778332,132.656,135.233,01,3,20
2016-01-20 11:00:00+05:30,660,133.65,133.75,132.95,133.5,104795,0.446282,386.363,-0.872685,132.609,135.164,01,3,20
2016-01-20 11:15:00+05:30,675,133.5,134.4,133.5,134.1,51015,0.484616,357.086,0.270484,132.621,135.091,01,3,20
2016-01-20 11:30:00+05:30,690,134.15,134.4,133.7,133.85,92008,0.473685,329.97,0.2853,132.623,135.049,01,3,20
2016-01-20 11:45:00+05:30,705,133.85,134.4,133.7,134.4,54021,0.496403,304.859,0.672124,132.628,135.022,01,3,20
2016-01-20 12:00:00+05:30,720,134.4,135.25,134.15,135.1,104895,0.564627,281.606,1.83396,132.591,135.121,01,3,20
2016-01-20 12:15:00+05:30,735,135.1,135.35,135.1,135.2,117198,0.536232,260.084,2.27537,132.515,135.302,01,3,20
2016-01-20 12:30:00+05:30,750,135.2,135.65,135.1,135.45,230461,0.849463,240.171,2.30563,132.433,135.5,01,3,20
2016-01-20 12:45:00+05:30,765,135.35,135.8,134.45,134.65,82568,0.684211,221.766,1.46819,132.413,135.597,01,3,20
2016-01-20 13:00:00+05:30,780,134.65,134.65,133.9,134.2,136507,0.602041,204.767,0.37579,132.413,135.596,01,3,20
2016-01-20 13:15:00+05:30,795,134.2,134.4,134.15,134.2,90909,0.59375,189.067,0.375791,132.413,135.596,01,3,20
2016-01-20 13:30:00+05:30,810,134.15,134.4,134.15,134.15,77379,0.550561,174.568,0.360666,132.411,135.587,01,3,20
2016-01-20 13:45:00+05:30,825,134.15,134.4,133.55,134.1,162201,0.569768,161.178,0.0705198,132.405,135.54,01,3,20
2016-01-20 14:00:00+05:30,840,134.15,134.3,133.55,134.15,122368,0.54878,148.813,0.0969547,132.402,135.482,01,3,20
2016-01-20 14:15:00+05:30,855,134.3,134.4,133.55,133.7,157918,0.523256,137.402,-0.266993,132.676,135.365,01,3,20
2016-01-20 14:30:00+05:30,870,133.7,134.15,133.5,133.9,203462,0.474357,126.865,-0.47704,132.855,135.295,01,3,20
2016-01-20 14:45:00+05:30,885,133.9,134.4,133.85,134.15,82858,0.53846,117.133,0.0249166,132.974,135.271,01,3,20
2016-01-20 15:00:00+05:30,900,134.15,134.9,134.15,134.25,126389,0.478262,108.142,0.609357,133.099,135.265,01,3,20
2016-01-20 15:15:00+05:30,915,134.25,134.55,134.15,134.15,65995,0.33333,99.8389,0.173799,133.163,135.267,01,3,20
2016-01-21 09:15:00+05:30,555,134.35,134.9,133.2,134.3,55906,0.344828,92.1693,-0.3125,133.249,135.246,01,4,21
2016-01-21 09:30:00+05:30,570,134.3,134.4,133.95,134.15,75939,0.267857,85.0881,-0.328193,133.338,135.222,01,4,21
2016-01-21 09:45:00+05:30,585,134.15,134.35,134,134.15,137994,0.375,78.5503,-0.465465,133.464,135.172,01,4,21
2016-01-21 10:00:00+05:30,600,134.15,134.4,133.25,133.5,295636,0.34091,72.5242,-1.7647,133.421,135.188,01,4,21
2016-01-21 10:15:00+05:30,615,133.5,134,131.9,132,440717,0.202703,66.9903,-4.28699,133.097,135.377,01,4,21
2016-01-21 10:30:00+05:30,630,132,132.05,129.55,129.6,335499,0.123967,61.9369,-6.24893,132.023,136.073,01,4,21
2016-01-21 10:45:00+05:30,645,129.55,131.35,129.2,131.1,248894,0.3,57.2832,-4.08648,131.336,136.333,01,4,21
2016-01-21 11:00:00+05:30,660,131.25,131.5,130.4,130.55,117086,0.275001,53.0001,-2.78174,130.878,136.35,01,4,21
2016-01-21 11:15:00+05:30,675,130.55,131.45,130.5,131.1,66019,0.339507,49.0426,-2.05768,130.565,136.225,01,4,21
2016-01-21 11:30:00+05:30,690,131.1,133.85,131.1,133.15,123413,0.462312,45.3517,-0.50259,130.533,136.031,01,4,21
2016-01-21 11:45:00+05:30,705,133.15,133.75,131.85,132.8,144345,0.432836,41.9221,-0.35433,130.49,135.929,01,4,21
2016-01-21 12:00:00+05:30,720,132.8,132.9,131.15,131.2,161713,0.367965,38.7637,-1.11119,130.338,135.831,01,4,21
2016-01-21 12:15:00+05:30,735,131.2,131.4,130.5,130.65,134527,0.354167,35.8597,-1.62364,130.058,135.772,01,4,21
2016-01-21 12:30:00+05:30,750,130.65,130.65,129.15,129.5,162629,0.315384,33.2022,-2.1214,129.585,135.82,01,4,21
2016-01-21 12:45:00+05:30,765,129.5,130,129.25,129.5,176778,0.319066,30.7616,-1.91689,129.145,135.819,01,4,21
2016-01-21 13:00:00+05:30,780,129.5,129.75,128.65,129.15,545308,0.310606,28.519,-1.87896,128.683,135.81,01,4,21
2016-01-21 13:15:00+05:30,795,129.15,129.55,128.55,129.25,396980,0.332016,26.4507,-1.69531,128.279,135.741,01,4,21
2016-01-21 13:30:00+05:30,810,129.25,130,129.25,129.55,202901,0.393013,24.5341,-1.28557,128.045,135.521,01,4,21
2016-01-21 13:45:00+05:30,825,129.55,131.35,129.4,129.6,189455,0.5,22.7555,-0.893232,127.971,135.164,01,4,21
2016-01-21 14:00:00+05:30,840,129.6,130.1,129.4,129.45,148295,0.393548,21.1064,-1.09612,127.874,134.797,01,4,21
2016-01-21 14:15:00+05:30,855,129.5,129.65,128.3,128.75,169772,0.386076,19.5868,-1.50835,127.708,134.44,01,4,21
2016-01-21 14:30:00+05:30,870,128.75,129.6,123.15,123.55,2.24323e+06,0.199203,18.2627,-3.53724,126.762,134.513,01,4,21
2016-01-21 14:45:00+05:30,885,123.9,126.65,121.45,124.65,1.48683e+06,0.133621,17.0711,-3.72497,125.703,134.581,01,4,21
2016-01-21 15:00:00+05:30,900,124.45,127.95,124.4,127.35,692378,0.30466,15.9438,-2.03747,125.403,134.165,01,4,21
2016-01-21 15:15:00+05:30,915,127.45,128.05,125.85,126.65,577372,0.325671,14.8898,-1.63625,125.141,133.849,01,4,21
2016-01-22 09:15:00+05:30,555,126.85,127.5,123.75,124,284568,0.280528,13.9432,-2.24706,124.496,133.962,01,5,22
2016-01-22 09:30:00+05:30,570,124.05,126.05,124,125.65,96226,0.376997,13.0558,-1.82604,123.967,133.96,01,5,22
2016-01-22 09:45:00+05:30,585,125.65,126.65,124.95,126.25,136918,0.4,12.2124,-1.27807,123.635,133.805,01,5,22
2016-01-22 10:00:00+05:30,600,126.2,126.75,126.2,126.65,163384,0.423313,11.4065,-0.889351,123.44,133.551,01,5,22
2016-01-22 10:15:00+05:30,615,126.45,126.65,125.7,126.25,55069,0.409639,10.646,-0.91934,123.411,132.93,01,5,22
2016-01-22 10:30:00+05:30,630,126.25,126.7,126.2,126.5,36545,0.407855,9.92532,-0.694619,123.547,132.161,01,5,22
2016-01-22 10:45:00+05:30,645,126.5,126.55,126.2,126.4,14427,0.403614,9.246,-0.650205,123.629,131.543,01,5,22
2016-01-22 11:00:00+05:30,660,126.4,126.5,125.3,125.45,111721,0.385057,8.62142,-0.915364,123.597,131.065,01,5,22
2016-01-22 11:15:00+05:30,675,125.45,125.5,125,125.1,44500,0.392962,8.04927,-1.15777,123.435,130.77,01,5,22
2016-01-22 11:30:00+05:30,690,125.1,125.7,125.1,125.3,118174,0.572614,7.51823,-1.00219,123.335,130.448,01,5,22
2016-01-22 11:45:00+05:30,705,125.3,125.4,124.2,124.7,69154,0.502164,7.0326,-1.34018,123.163,130.179,01,5,22
2016-01-22 12:00:00+05:30,720,124.85,125,124.55,124.75,18098,0.353933,6.58378,-1.2918,123.041,129.866,01,5,22
2016-01-22 12:15:00+05:30,735,124.75,124.85,122.75,123.15,142668,0.321429,6.19091,-2.08974,122.844,129.461,01,5,22
2016-01-22 12:30:00+05:30,750,123.15,123.45,120.7,121.65,374295,0.364162,5.86233,-3.22426,122.473,129.014,01,5,22
2016-01-22 12:45:00+05:30,765,121.65,122.7,121.45,121.95,146141,0.246575,5.57294,-2.91713,122.229,128.496,01,5,22
2016-01-22 13:00:00+05:30,780,122.05,123.05,122,122.95,50951,0.285714,5.29487,-2.09951,122.156,127.946,01,5,22
2016-01-22 13:15:00+05:30,795,122.85,123.1,121.45,121.6,97982,0.208093,5.04692,-2.17765,121.714,128.05,01,5,22
2016-01-22 13:30:00+05:30,810,121.5,121.95,120.75,121.9,946439,0.245614,4.81443,-2.1891,121.264,128.228,01,5,22
2016-01-22 13:45:00+05:30,825,121.9,121.9,121.25,121.4,38120,0.210228,4.60029,-1.84466,120.847,128.139,01,5,22
2016-01-22 14:00:00+05:30,840,121.45,121.65,120.75,121.25,37986,0.20904,4.40042,-1.74534,120.468,127.955,01,5,22
2016-01-22 14:15:00+05:30,855,121.25,121.8,121.1,121.5,36495,0.257669,4.20587,-1.40291,120.127,127.934,01,5,22
2016-01-22 14:30:00+05:30,870,121.5,121.75,121.35,121.4,39697,0.265823,4.01658,-1.23757,119.833,127.855,01,5,22
2016-01-22 14:45:00+05:30,885,121.4,122.05,121.2,121.85,106192,0.288343,3.82422,-1.03031,119.639,127.624,01,5,22
2016-01-22 15:00:00+05:30,900,121.85,121.85,121.1,121.55,102459,0.299363,3.63576,-1.04078,119.518,127.242,01,5,22
2016-01-22 15:15:00+05:30,915,121.5,121.95,121.25,121.95,289886,0.329268,3.44501,-0.844747,119.458,126.854,01,5,22
2016-01-25 09:15:00+05:30,555,123.7,123.75,121.55,122.7,141411,0.469387,3.2433,-0.198705,119.592,126.34,01,1,25
2016-01-25 09:30:00+05:30,570,122.7,124.15,122.35,123.1,149898,0.616,3.03165,0.302875,119.813,125.8,01,1,25
