Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,533.4,536.55,529.15,535.4,630015
2016-01-18 09:30:00+05:30,535.55,536.3,532.55,533.55,404476
2016-01-18 09:45:00+05:30,533.5,534.8,531.45,531.6,354117
2016-01-18 10:00:00+05:30,531.8,533.25,528.75,532.7,617956
2016-01-18 10:15:00+05:30,532.7,532.8,530,531.75,366183
2016-01-18 10:30:00+05:30,531.75,532.1,529.8,531,266991
2016-01-18 10:45:00+05:30,531.1,532.35,529.65,531.6,319213
2016-01-18 11:00:00+05:30,531.6,531.95,529.3,530.3,283093
2016-01-18 11:15:00+05:30,530.55,531.3,522.6,524.25,772783
2016-01-18 11:30:00+05:30,524.1,527.4,523.4,524.2,402592
2016-01-18 11:45:00+05:30,524.2,525.45,523.05,524.65,334331
2016-01-18 12:00:00+05:30,524.55,524.85,520.85,522.7,401290
2016-01-18 12:15:00+05:30,522.7,524.35,522,523.2,233869
2016-01-18 12:30:00+05:30,523.25,525,523.05,523.4,294098
2016-01-18 12:45:00+05:30,523.4,523.8,519.55,520.6,523311
2016-01-18 13:00:00+05:30,520.6,522.05,519.1,519.2,373578
2016-01-18 13:15:00+05:30,519.2,519.75,518.2,518.95,401856
2016-01-18 13:30:00+05:30,518.95,521.75,518.7,521.15,405093
2016-01-18 13:45:00+05:30,521.15,522.3,519.55,520.85,407196
2016-01-18 14:00:00+05:30,520.85,520.85,516.3,517.05,597742
2016-01-18 14:15:00+05:30,516.95,517.6,513.6,515,656542
2016-01-18 14:30:00+05:30,515,515.05,511.45,512.45,554243
2016-01-18 14:45:00+05:30,512.45,513.7,508.45,509.5,495144
2016-01-18 15:00:00+05:30,509.65,509.95,499.4,501.25,1299143
2016-01-18 15:15:00+05:30,501.15,505.9,500.5,505.4,1170449
2016-01-19 09:15:00+05:30,508.7,512.4,502.75,502.75,810759
2016-01-19 09:30:00+05:30,503.05,509.4,502.7,507.95,744185
2016-01-19 09:45:00+05:30,507.95,511.5,507.75,511.05,505092
2016-01-19 10:00:00+05:30,511.15,514.6,510.65,512.65,644133
2016-01-19 10:15:00+05:30,512.5,512.9,508.95,509.95,397260
2016-01-19 10:30:00+05:30,510,513.3,509.9,513.1,322538
2016-01-19 10:45:00+05:30,513.15,513.15,511.9,512.75,211652
2016-01-19 11:00:00+05:30,512.75,513.85,512.65,513.4,179045
2016-01-19 11:15:00+05:30,513.4,513.8,511.4,511.95,201682
2016-01-19 11:30:00+05:30,511.95,514.95,511.8,514.9,346491
2016-01-19 11:45:00+05:30,514.75,514.8,513.4,513.7,324601
2016-01-19 12:00:00+05:30,513.7,516.35,513.7,515.35,227316
2016-01-19 12:15:00+05:30,515.1,517.95,515,516.15,287777
2016-01-19 12:30:00+05:30,516.05,517.85,515.7,517.7,129082
2016-01-19 12:45:00+05:30,517.9,518.95,515.8,516.1,278724
2016-01-19 13:00:00+05:30,516.1,518.55,515.95,517.3,241895
2016-01-19 13:15:00+05:30,517.25,517.4,516.15,517.1,132738
2016-01-19 13:30:00+05:30,516.95,517.35,513.65,514.7,234701
2016-01-19 13:45:00+05:30,514.5,517.6,513.25,516.6,354684
2016-01-19 14:00:00+05:30,516.25,516.65,513.45,515.95,280832
2016-01-19 14:15:00+05:30,515.9,516.1,512.75,514.45,329901
2016-01-19 14:30:00+05:30,514.05,514.9,510.7,511.15,558483
2016-01-19 14:45:00+05:30,511.05,514.75,510.2,513.35,310955
2016-01-19 15:00:00+05:30,513.3,517.35,512.65,517.25,663992
2016-01-19 15:15:00+05:30,517.25,519.7,516.3,518.55,1182963
2016-01-20 09:15:00+05:30,512.05,512.05,501.35,503.75,3566737
2016-01-20 09:30:00+05:30,503.9,504.45,494.9,498.3,2352030
2016-01-20 09:45:00+05:30,498.3,501.25,495.9,501.25,1217064
2016-01-20 10:00:00+05:30,501.25,504.45,501.2,503.3,1394611
2016-01-20 10:15:00+05:30,503.25,504.2,502.4,503.95,370482
2016-01-20 10:30:00+05:30,503.95,505.6,503.95,504.15,736863
2016-01-20 10:45:00+05:30,504.3,507,503.95,505.3,491559
2016-01-20 11:00:00+05:30,505.35,505.7,501.05,503,699359
2016-01-20 11:15:00+05:30,503.1,503.95,502.85,503.75,268160
2016-01-20 11:30:00+05:30,503.7,504,500.6,501.25,345413
2016-01-20 11:45:00+05:30,501,501.95,499.95,500.9,481654
2016-01-20 12:00:00+05:30,500.9,502,500.55,500.75,277774
2016-01-20 12:15:00+05:30,500.75,501.2,500.25,500.8,228657
2016-01-20 12:30:00+05:30,500.8,501,497.3,498.45,538132
2016-01-20 12:45:00+05:30,498.45,500.15,498.4,498.75,206881
2016-01-20 13:00:00+05:30,498.8,499.25,497.4,497.8,244048
