Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,533.4,536.55,529.15,535.4,630015,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,535.55,536.3,532.55,533.55,404476,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,533.5,534.8,531.45,531.6,354117,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,531.8,533.25,528.75,532.7,617956,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,532.7,532.8,530,531.75,366183,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,531.75,532.1,529.8,531,266991,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,531.1,532.35,529.65,531.6,319213,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,531.6,531.95,529.3,530.3,283093,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,530.55,531.3,522.6,524.25,772783,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,524.1,527.4,523.4,524.2,402592,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,524.2,525.45,523.05,524.65,334331,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,524.55,524.85,520.85,522.7,401290,0,-105.895,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,522.7,524.35,522,523.2,233869,0,-190.418,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,523.25,525,523.05,523.4,294098,0.161018,-257.879,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,523.4,523.8,519.55,520.6,523311,0.152816,-311.629,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,520.6,522.05,519.1,519.2,373578,0.15746,-354.4,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,519.2,519.75,518.2,518.95,401856,0.101449,-388.416,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,518.95,521.75,518.7,521.15,405093,0.213514,-415.526,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,521.15,522.3,519.55,520.85,407196,0.218837,-437.118,0,0,0,01,1,18
