Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,184.7,186.2,181.15,184.9,2524477
2016-01-18 09:30:00+05:30,184.9,184.95,182.9,183.85,1455462
2016-01-18 09:45:00+05:30,183.9,183.9,180.1,180.45,1935006
2016-01-18 10:00:00+05:30,180.5,181,179.15,180.25,1787757
2016-01-18 10:15:00+05:30,180.15,182.55,180.15,182.2,1238367
2016-01-18 10:30:00+05:30,182.25,183.95,181.4,183.5,1241420
2016-01-18 10:45:00+05:30,183.7,184.75,182.75,184.3,1755593
2016-01-18 11:00:00+05:30,184.35,186.75,183.95,186.45,2113527
2016-01-18 11:15:00+05:30,186.3,186.65,184.9,185.35,1188613
2016-01-18 11:30:00+05:30,185.45,185.65,184.15,184.3,680628
2016-01-18 11:45:00+05:30,184.25,184.35,182.2,183.35,1195711
2016-01-18 12:00:00+05:30,183.35,184.4,183.15,183.95,683159
2016-01-18 12:15:00+05:30,183.95,184.7,183.95,184.3,522876
2016-01-18 12:30:00+05:30,184.2,185.3,184.15,185.25,711632
2016-01-18 12:45:00+05:30,185.25,185.7,184.75,184.9,969097
2016-01-18 13:00:00+05:30,184.95,185.05,183.85,184.8,994845
2016-01-18 13:15:00+05:30,184.8,184.9,183.8,184.25,936072
2016-01-18 13:30:00+05:30,184.2,186.25,184.2,186.1,1160858
2016-01-18 13:45:00+05:30,186.1,188,185.85,186.8,1998155
2016-01-18 14:00:00+05:30,186.8,186.85,185.1,185.6,738374
2016-01-18 14:15:00+05:30,185.6,185.8,184,184.5,1196567
2016-01-18 14:30:00+05:30,184.55,184.6,182.45,183.15,1859612
2016-01-18 14:45:00+05:30,183.1,183.65,181.3,181.95,1714634
2016-01-18 15:00:00+05:30,181.9,182.1,181,181.15,1425518
2016-01-18 15:15:00+05:30,181.25,181.8,180.25,180.9,3552541
2016-01-19 09:15:00+05:30,182.4,183.6,182.3,182.85,1681778
2016-01-19 09:30:00+05:30,182.85,184.3,182.6,183.65,1174919
2016-01-19 09:45:00+05:30,183.6,185.15,183.55,184.95,1188756
2016-01-19 10:00:00+05:30,184.95,184.95,183.8,184,620754
2016-01-19 10:15:00+05:30,183.95,184.45,183.2,183.8,583384
2016-01-19 10:30:00+05:30,183.8,184.85,183.7,184.6,737594
2016-01-19 10:45:00+05:30,184.55,185.15,184.3,185.1,714770
2016-01-19 11:00:00+05:30,185.15,185.25,184.55,184.75,490876
2016-01-19 11:15:00+05:30,184.75,185,184.45,184.9,471548
2016-01-19 11:30:00+05:30,184.8,185.65,184.6,185,922584
2016-01-19 11:45:00+05:30,185.05,185.95,184.75,185.2,903316
2016-01-19 12:00:00+05:30,185.15,185.95,185.1,185.75,560559
2016-01-19 12:15:00+05:30,185.8,187.2,185.7,186.55,1738737
2016-01-19 12:30:00+05:30,186.45,186.6,186.1,186.3,679421
2016-01-19 12:45:00+05:30,186.25,186.3,185.35,185.35,1649572
2016-01-19 13:00:00+05:30,185.4,186.35,185.1,185.25,752102
2016-01-19 13:15:00+05:30,185.15,186,184.75,185,656583
2016-01-19 13:30:00+05:30,184.9,185,184.4,184.65,624387
2016-01-19 13:45:00+05:30,184.6,185.3,184.55,184.7,534678
2016-01-19 14:00:00+05:30,184.65,184.75,183.25,184.25,1956225
2016-01-19 14:15:00+05:30,184.2,184.2,183.2,183.85,671627
2016-01-19 14:30:00+05:30,183.8,183.95,182,182.15,1400516
2016-01-19 14:45:00+05:30,182.15,183,181.6,182.9,1666116
2016-01-19 15:00:00+05:30,182.9,183.45,182.5,183,750886
2016-01-19 15:15:00+05:30,182.85,183.5,182.5,183.5,1337463
2016-01-20 09:15:00+05:30,180.5,180.5,176.9,177.8,2678952
2016-01-20 09:30:00+05:30,177.8,177.8,176.1,176.45,1713632
2016-01-20 09:45:00+05:30,176.55,177.9,176.15,177.85,1388019
2016-01-20 10:00:00+05:30,177.9,177.9,177.05,177.3,978034
2016-01-20 10:15:00+05:30,177.35,177.8,177.1,177.65,519519
2016-01-20 10:30:00+05:30,177.6,177.7,176.1,176.9,1505120
2016-01-20 10:45:00+05:30,176.9,177.5,176.8,177.35,484262
2016-01-20 11:00:00+05:30,177.35,177.45,176.55,176.9,490910
2016-01-20 11:15:00+05:30,176.9,177.4,176.75,177,370866
2016-01-20 11:30:00+05:30,177.1,177.2,176.3,176.55,768260
2016-01-20 11:45:00+05:30,176.55,176.65,175.25,175.75,1145677
2016-01-20 12:00:00+05:30,175.75,176,175,175.8,1920774
2016-01-20 12:15:00+05:30,175.8,175.9,175.05,175.3,556482
2016-01-20 12:30:00+05:30,175.3,175.7,174.9,175.5,1082299
2016-01-20 12:45:00+05:30,175.35,175.8,175.35,175.5,391378
2016-01-20 13:00:00+05:30,175.5,175.6,175.2,175.4,324539
2016-01-20 13:15:00+05:30,175.45,175.6,174.7,174.85,681449
2016-01-20 13:30:00+05:30,174.85,175.1,173.5,173.8,1380031
2016-01-20 13:45:00+05:30,173.8,173.8,172.45,172.8,1622924
2016-01-20 14:00:00+05:30,172.8,173.35,171.85,172.85,1094229
2016-01-20 14:15:00+05:30,172.85,173,171.6,172.05,870797
2016-01-20 14:30:00+05:30,172.05,172.4,171.5,171.95,769921
2016-01-20 14:45:00+05:30,171.95,173.4,171.75,173.3,1942586
2016-01-20 15:00:00+05:30,173.3,174.1,173.05,173.9,2100088
2016-01-20 15:15:00+05:30,173.75,174.05,173.3,173.6,1789681
2016-01-21 09:15:00+05:30,177,178.6,176.25,177.4,3535831
2016-01-21 09:30:00+05:30,177.45,177.55,175.55,176.3,1443668
2016-01-21 09:45:00+05:30,176.25,176.3,174.9,175.65,1312225
2016-01-21 10:00:00+05:30,175.65,175.9,174.7,174.95,809316
2016-01-21 10:15:00+05:30,174.9,176.4,174.75,175.95,861292
2016-01-21 10:30:00+05:30,175.9,176.1,173.2,173.5,1599625
2016-01-21 10:45:00+05:30,173.4,175.05,173.35,174.7,862097
2016-01-21 11:00:00+05:30,174.6,174.9,173.9,174.1,545353
2016-01-21 11:15:00+05:30,174.1,174.75,173.7,173.8,513608
2016-01-21 11:30:00+05:30,173.75,174.1,173,173.45,850252
2016-01-21 11:45:00+05:30,173.4,174.2,172.85,173.95,845125
2016-01-21 12:00:00+05:30,173.95,174.5,173.8,173.9,555336
2016-01-21 12:15:00+05:30,173.9,174.6,173.8,174.15,539598
2016-01-21 12:30:00+05:30,174.15,174.4,173.4,173.75,675047
2016-01-21 12:45:00+05:30,173.7,174.1,173.4,173.6,535354
2016-01-21 13:00:00+05:30,173.6,173.95,173.1,173.15,878294
2016-01-21 13:15:00+05:30,173.2,174.3,172.1,174.1,1226435
2016-01-21 13:30:00+05:30,174.3,176.75,174.15,176.4,2237974
