Date,Open,High,Low,Close,Volume
2016-01-18 09:15:00+05:30,201.62,205.77,199.62,201.9,474110
2016-01-18 09:30:00+05:30,201.92,205.17,201.23,202.99,276278
2016-01-18 09:45:00+05:30,202.93,204.53,202.82,203.78,159234
2016-01-18 10:00:00+05:30,203.78,205.25,202.89,204.7,149840
2016-01-18 10:15:00+05:30,204.7,204.8,203.01,203.76,123536
2016-01-18 10:30:00+05:30,203.76,204.89,203.56,204.51,96656
2016-01-18 10:45:00+05:30,204.51,204.51,203.42,203.5,43396
2016-01-18 11:00:00+05:30,203.5,203.72,203.27,203.57,30622
2016-01-18 11:15:00+05:30,203.57,204.23,203.27,203.53,31142
2016-01-18 11:30:00+05:30,203.53,203.93,203.41,203.93,26752
2016-01-18 11:45:00+05:30,203.93,204.4,203.63,204.05,38156
2016-01-18 12:00:00+05:30,204.05,204.81,203.97,204.74,58860
2016-01-18 12:15:00+05:30,204.74,206.05,203.57,204.47,245776
2016-01-18 12:30:00+05:30,204.47,205.15,203.97,204.92,95942
2016-01-18 12:45:00+05:30,204.92,205.62,204.35,204.74,106856
2016-01-18 13:00:00+05:30,204.74,204.77,204.44,204.72,58294
2016-01-18 13:15:00+05:30,204.72,204.77,204.46,204.51,62168
2016-01-18 13:30:00+05:30,204.51,205.45,204.51,205.45,89376
2016-01-18 13:45:00+05:30,205.45,205.86,204.53,204.74,88184
2016-01-18 14:00:00+05:30,204.74,206.99,204.66,206.13,183586
2016-01-18 14:15:00+05:30,206.11,206.11,204.51,205.3,190222
2016-01-18 14:30:00+05:30,205.3,205.6,204.14,204.5,121990
2016-01-18 14:45:00+05:30,204.55,205.59,204.5,205.29,77062
2016-01-18 15:00:00+05:30,205.3,206.11,204.4,205.26,304666
2016-01-18 15:15:00+05:30,205.38,206.77,205.14,206.24,249600
2016-01-19 09:15:00+05:30,206.04,207.52,203.23,204.7,114716
2016-01-19 09:30:00+05:30,204.7,204.72,203.5,203.5,40084
2016-01-19 09:45:00+05:30,203.5,204.14,202.28,203.82,63250
2016-01-19 10:00:00+05:30,203.82,203.93,202.77,203.93,28990
2016-01-19 10:15:00+05:30,203.93,204.65,203.72,204.14,31338
2016-01-19 10:30:00+05:30,204.14,206.39,204.14,205.21,107318
2016-01-19 10:45:00+05:30,205.21,206.15,205.21,205.98,28304
2016-01-19 11:00:00+05:30,205.98,206.64,205.68,205.68,44714
2016-01-19 11:15:00+05:30,205.68,205.89,204.83,205.49,22958
2016-01-19 11:30:00+05:30,205.3,205.4,204.32,204.59,22336
2016-01-19 11:45:00+05:30,204.59,204.87,204.23,204.23,9274
2016-01-19 12:00:00+05:30,204.23,204.5,203.95,204.01,13902
2016-01-19 12:15:00+05:30,204.01,204.59,203.97,203.98,20932
2016-01-19 12:30:00+05:30,203.98,204.44,203.57,204.14,70098
2016-01-19 12:45:00+05:30,204.14,204.74,203.93,204.25,26826
