Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,201.62,205.77,199.62,201.9,474110,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,201.92,205.17,201.23,202.99,276278,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,202.93,204.53,202.82,203.78,159234,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,203.78,205.25,202.89,204.7,149840,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,204.7,204.8,203.01,203.76,123536,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,203.76,204.89,203.56,204.51,96656,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,204.51,204.51,203.42,203.5,43396,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,203.5,203.72,203.27,203.57,30622,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,203.57,204.23,203.27,203.53,31142,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,203.53,203.93,203.41,203.93,26752,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,203.93,204.4,203.63,204.05,38156,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,204.05,204.81,203.97,204.74,58860,0,-40.7493,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,204.74,206.05,203.57,204.47,245776,0,-73.3711,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,204.47,205.15,203.97,204.92,95942,0.700265,-99.5011,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,204.92,205.62,204.35,204.74,106856,0.631976,-120.427,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,204.74,204.77,204.44,204.72,58294,0.580205,-137.186,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,204.72,204.77,204.46,204.51,62168,0.481553,-150.602,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,204.51,205.45,204.51,205.45,89376,0.664077,-161.372,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,205.45,205.86,204.53,204.74,88184,0.522506,-169.996,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,204.74,206.99,204.66,206.13,183586,0.739526,-176.946,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,206.11,206.11,204.51,205.3,190222,0.638399,-182.523,1.64275,203.017,205.734,01,1,18
2016-01-18 14:30:00+05:30,870,205.3,205.6,204.14,204.5,121990,0.569187,-186.974,0.563719,203.217,205.696,01,1,18
2016-01-18 14:45:00+05:30,885,204.55,205.59,204.5,205.29,77062,0.591892,-190.551,1.20111,203.305,205.75,01,1,18
2016-01-18 15:00:00+05:30,900,205.3,206.11,204.4,205.26,304666,0.582763,-193.425,1.32562,203.319,205.833,01,1,18
2016-01-18 15:15:00+05:30,915,205.38,206.77,205.14,206.24,249600,0.598684,-195.764,2.55653,203.321,206.05,01,1,18
2016-01-19 09:15:00+05:30,555,206.04,207.52,203.23,204.7,114716,0.512965,865.563,0.786665,203.359,206.095,01,2,19
2016-01-19 09:30:00+05:30,570,204.7,204.72,203.5,203.5,40084,0.426196,1636.02,-1.54944,203.376,206.088,01,2,19
2016-01-19 09:45:00+05:30,585,203.5,204.14,202.28,203.82,63250,0.452869,2179.82,-2.44114,203.351,206.102,01,2,19
2016-01-19 10:00:00+05:30,600,203.82,203.93,202.77,203.93,28990,0.459898,2547.87,-2.16035,203.323,206.117,01,2,19
2016-01-19 10:15:00+05:30,615,203.93,204.65,203.72,204.14,31338,0.481219,2780.47,-1.08906,203.39,206.091,01,2,19
2016-01-19 10:30:00+05:30,630,204.14,206.39,204.14,205.21,107318,0.487976,2909.45,0.86745,203.476,206.128,01,2,19
2016-01-19 10:45:00+05:30,645,205.21,206.15,205.21,205.98,28304,0.561752,2959.91,1.69132,203.481,206.25,01,2,19
2016-01-19 11:00:00+05:30,660,205.98,206.64,205.68,205.68,44714,0.47486,2951.62,1.84784,203.464,206.397,01,2,19
2016-01-19 11:15:00+05:30,675,205.68,205.89,204.83,205.49,22958,0.511432,2900.09,0.749432,203.491,206.443,01,2,19
2016-01-19 11:30:00+05:30,690,205.3,205.4,204.32,204.59,22336,0.505351,2817.42,-0.321672,203.482,206.438,01,2,19
2016-01-19 11:45:00+05:30,705,204.59,204.87,204.23,204.23,9274,0.433584,2713.04,-0.840714,203.461,206.439,01,2,19
2016-01-19 12:00:00+05:30,720,204.23,204.5,203.95,204.01,13902,0.423501,2594.23,-1.23409,203.407,206.45,01,2,19
2016-01-19 12:15:00+05:30,735,204.01,204.59,203.97,203.98,20932,0.34349,2466.6,-1.06174,203.328,206.433,01,2,19
2016-01-19 12:30:00+05:30,750,203.98,204.44,203.57,204.14,70098,0.452055,2334.4,-1.12641,203.24,206.423,01,2,19
2016-01-19 12:45:00+05:30,765,204.14,204.74,203.93,204.25,26826,0.578947,2200.88,-0.673159,203.227,206.274,01,2,19
2016-01-19 13:00:00+05:30,780,204.25,205.85,203.83,205.32,95550,0.636364,2068.4,0.411321,203.228,206.242,01,2,19
2016-01-19 13:15:00+05:30,795,205.15,205.41,204.89,205.15,15704,0.609712,1938.74,0.595926,203.237,206.273,01,2,19
2016-01-19 13:30:00+05:30,810,205.15,205.45,204.89,205.29,34508,0.604735,1813.15,0.67633,203.237,206.282,01,2,19
2016-01-19 13:45:00+05:30,825,205.29,205.45,204.27,204.35,80782,0.419776,1692.52,-0.0632867,203.226,206.236,01,2,19
2016-01-19 14:00:00+05:30,840,204.32,204.51,202.84,203.01,264872,0.249579,1577.43,-1.79604,203.126,206.076,01,2,19
2016-01-19 14:15:00+05:30,855,203.01,203.52,202.71,203.33,309248,0.302523,1468.19,-1.95726,202.929,206.077,01,2,19
2016-01-19 14:30:00+05:30,870,203.31,203.82,203.01,203.38,76606,0.318418,1364.95,-1.54558,202.851,206.104,01,2,19
2016-01-19 14:45:00+05:30,885,203.38,204.27,203.31,204.14,61292,0.460318,1267.71,-0.885221,202.927,206.078,01,2,19
2016-01-19 15:00:00+05:30,900,204.14,204.2,203.76,203.89,143228,0.469425,1176.4,-0.874838,202.987,206.058,01,2,19
2016-01-19 15:15:00+05:30,915,203.78,204.12,203.42,203.98,187280,0.497238,1090.88,-0.995099,202.949,206.063,01,2,19
2016-01-20 09:15:00+05:30,555,202.65,202.65,200.94,202.22,139598,0.377096,1010.97,-3.25716,202.463,206.219,01,3,20
2016-01-20 09:30:00+05:30,570,202.22,203.95,202.17,202.99,98342,0.425998,936.414,-1.6338,202.366,206.041,01,3,20
2016-01-20 09:45:00+05:30,585,202.99,203.83,202.65,203.57,48470,0.458738,866.956,-1.09297,202.396,205.746,01,3,20
2016-01-20 10:00:00+05:30,600,203.57,203.86,203.16,203.86,29880,0.402144,802.323,-0.579774,202.414,205.551,01,3,20
2016-01-20 10:15:00+05:30,615,203.68,203.87,203.2,203.44,40314,0.389105,742.254,-0.698909,202.381,205.457,01,3,20
2016-01-20 10:30:00+05:30,630,203.44,203.8,202.84,203.33,30098,0.372396,686.481,-0.903937,202.324,205.402,01,3,20
2016-01-20 10:45:00+05:30,645,203.33,203.76,203.16,203.35,31758,0.426036,634.738,-0.669433,202.282,205.371,01,3,20
2016-01-20 11:00:00+05:30,660,203.35,203.76,203.22,203.59,28220,0.551237,586.762,-0.453165,202.253,205.334,01,3,20
2016-01-20 11:15:00+05:30,675,203.59,205.04,203.57,204.36,56564,0.584288,542.294,0.844492,202.253,205.362,01,3,20
2016-01-20 11:30:00+05:30,690,204.36,204.83,203.95,204.51,38274,0.590982,501.101,0.99784,202.25,205.377,01,3,20
2016-01-20 11:45:00+05:30,705,204.51,204.55,203.91,204.16,130400,0.501725,462.967,0.753881,202.295,205.253,01,3,20
2016-01-20 12:00:00+05:30,720,204.16,204.61,203.82,204.12,127662,0.520572,427.679,0.878744,202.372,205.079,01,3,20
2016-01-20 12:15:00+05:30,735,204.06,204.25,203.87,203.89,15464,0.492147,395.042,0.743859,202.485,204.845,01,3,20
2016-01-20 12:30:00+05:30,750,204.08,204.16,203.78,204.06,14806,0.722223,364.86,0.88634,202.535,204.726,01,3,20
2016-01-20 12:45:00+05:30,765,204.06,204.68,204.06,204.2,19386,0.672364,336.955,1.44703,202.542,204.805,01,3,20
2016-01-20 13:00:00+05:30,780,204.2,204.77,203.59,204.12,110708,0.591361,311.162,1.00126,202.595,204.849,01,3,20
2016-01-20 13:15:00+05:30,795,204.12,204.7,204.06,204.31,48452,0.577319,287.322,1.32308,202.62,204.919,01,3,20
2016-01-20 13:30:00+05:30,810,204.31,204.57,203.98,204.25,101446,0.658824,265.294,1.04564,202.619,204.956,01,3,20
2016-01-20 13:45:00+05:30,825,204.25,204.46,203.89,204.06,48596,0.638783,244.946,0.729484,202.621,204.974,01,3,20
2016-01-20 14:00:00+05:30,840,204.06,204.44,203.65,204.25,152658,0.660714,226.149,0.635058,202.626,204.995,01,3,20
2016-01-20 14:15:00+05:30,855,204.23,204.42,203.2,204.06,86468,0.585455,208.789,-0.0427248,203.094,204.723,01,3,20
2016-01-20 14:30:00+05:30,870,204.06,204.85,203.95,204.08,127442,0.43,192.758,1.01938,203.247,204.696,01,3,20
2016-01-20 14:45:00+05:30,885,204.08,204.61,203.8,204.14,225844,0.403143,177.953,0.605867,203.342,204.684,01,3,20
2016-01-20 15:00:00+05:30,900,204.14,204.2,203.76,203.93,335740,0.435026,164.285,-0.255771,203.382,204.678,01,3,20
2016-01-20 15:15:00+05:30,915,203.95,204.14,203.52,203.76,251456,0.405263,151.669,-0.983638,203.434,204.656,01,3,20
2016-01-21 09:15:00+05:30,555,203.97,205.64,203.71,204.89,80370,0.67857,140.006,2.85995,203.527,204.706,01,4,21
2016-01-21 09:30:00+05:30,570,204.89,205.41,204.53,205.34,44228,0.707791,129.221,4.00403,203.556,204.843,01,4,21
2016-01-21 09:45:00+05:30,585,205.44,206.11,204.96,205.83,93670,0.737608,119.246,4.81277,203.475,205.135,01,4,21
2016-01-21 10:00:00+05:30,600,205.83,205.94,205.3,205.77,72394,0.741935,110.027,3.49686,203.351,205.394,01,4,21
2016-01-21 10:15:00+05:30,615,205.77,205.83,205.38,205.62,47700,0.69436,101.513,2.56438,203.276,205.587,01,4,21
2016-01-21 10:30:00+05:30,630,205.62,205.68,205.08,205.47,75224,0.6763,93.6545,1.76152,203.266,205.717,01,4,21
2016-01-21 10:45:00+05:30,645,205.47,205.64,205.08,205.55,45474,0.722387,86.402,1.52281,203.273,205.835,01,4,21
2016-01-21 11:00:00+05:30,660,205.55,205.64,205.26,205.26,30166,0.646375,79.714,1.27504,203.319,205.927,01,4,21
2016-01-21 11:15:00+05:30,675,205.26,205.64,204.91,204.91,55946,0.617729,73.5517,0.787693,203.39,205.971,01,4,21
2016-01-21 11:30:00+05:30,690,204.91,205.45,204.89,205.45,54506,0.665859,67.8635,0.876121,203.425,206.031,01,4,21
2016-01-21 11:45:00+05:30,705,205.45,205.64,205.06,205.51,70796,0.665859,62.6131,0.997825,203.483,206.097,01,4,21
2016-01-21 12:00:00+05:30,720,205.51,205.92,205.32,205.45,115758,0.690956,57.7685,1.13978,203.518,206.183,01,4,21
2016-01-21 12:15:00+05:30,735,205.45,205.92,205.36,205.56,224012,0.729592,53.2971,1.12018,203.574,206.262,01,4,21
2016-01-21 12:30:00+05:30,750,205.56,205.7,205.44,205.64,256984,0.630662,49.1695,1.01502,203.667,206.315,01,4,21
2016-01-21 12:45:00+05:30,765,205.64,206.28,205.36,205.83,173190,0.593871,45.3574,1.34079,203.769,206.384,01,4,21
2016-01-21 13:00:00+05:30,780,205.83,206.77,205.79,206.45,57882,0.613138,41.8285,2.21024,203.9,206.497,01,4,21
2016-01-21 13:15:00+05:30,795,206.45,206.77,206.26,206.49,90434,0.632353,38.5648,2.41716,203.961,206.657,01,4,21
2016-01-21 13:30:00+05:30,810,206.49,207.13,206.43,206.62,95558,0.685186,35.5475,2.73762,204.058,206.815,01,4,21
2016-01-21 13:45:00+05:30,825,206.62,207.41,206.41,207.28,60558,0.781932,32.7504,3.10542,204.218,206.962,01,4,21
2016-01-21 14:00:00+05:30,840,207.28,208.65,207.11,208.27,123064,0.830098,30.1472,3.92076,204.303,207.297,01,4,21
2016-01-21 14:15:00+05:30,855,208.27,208.27,207.73,207.88,83804,0.810429,27.7383,2.93617,204.273,207.648,01,4,21
2016-01-21 14:30:00+05:30,870,207.88,208.18,207.17,207.33,265418,0.773756,25.5221,1.95617,204.309,207.859,01,4,21
2016-01-21 14:45:00+05:30,885,207.33,207.8,206.62,206.79,204336,0.651583,23.4921,1.14893,204.344,207.967,01,4,21
2016-01-21 15:00:00+05:30,900,206.77,207.48,206.77,206.92,311116,0.657015,21.629,1.0099,204.387,208.063,01,4,21
2016-01-21 15:15:00+05:30,915,206.92,207.69,206.56,206.8,752416,0.648352,19.92,0.866615,204.449,208.142,01,4,21
2016-01-22 09:15:00+05:30,555,207.93,208.65,206.28,206.88,74928,0.646018,18.35,1.05886,204.543,208.234,01,5,22
2016-01-22 09:30:00+05:30,570,206.99,207.52,206.79,207.37,30280,0.675456,16.8995,0.915393,204.654,208.303,01,5,22
2016-01-22 09:45:00+05:30,585,207.37,208.57,207.35,208.29,39732,0.717314,15.5467,1.76438,204.736,208.49,01,5,22
2016-01-22 10:00:00+05:30,600,208.29,208.41,206.95,207.02,23160,0.545167,14.3097,0.947543,204.943,208.514,01,5,22
2016-01-22 10:15:00+05:30,615,207.02,207.74,206.99,207.35,23782,0.565152,13.1721,0.74254,205.161,208.505,01,5,22
2016-01-22 10:30:00+05:30,630,207.35,207.35,206.58,206.83,99460,0.515022,12.1339,0.01802,205.371,208.447,01,5,22
2016-01-22 10:45:00+05:30,645,206.83,206.99,206.5,206.73,57662,0.457232,11.186,-0.415349,205.555,208.38,01,5,22
2016-01-22 11:00:00+05:30,660,206.73,206.92,206.71,206.75,45610,0.360806,10.3182,-0.487802,205.754,208.299,01,5,22
2016-01-22 11:15:00+05:30,675,206.75,207.63,206.56,207.32,93562,0.450355,9.51351,0.15591,206.015,208.196,01,5,22
2016-01-22 11:30:00+05:30,690,207.32,207.67,207.26,207.52,18270,0.517959,8.76544,0.79609,206.261,208.116,01,5,22
2016-01-22 11:45:00+05:30,705,207.52,207.58,207.33,207.54,14814,0.578617,8.07158,0.689567,206.398,208.094,01,5,22
2016-01-22 12:00:00+05:30,720,207.56,207.71,207.41,207.52,29400,0.564379,7.42973,0.764986,206.512,208.084,01,5,22
2016-01-22 12:15:00+05:30,735,207.52,207.69,207.32,207.39,28372,0.563169,6.83898,0.432011,206.592,208.078,01,5,22
2016-01-22 12:30:00+05:30,750,207.39,207.48,206.98,207.32,14924,0.547211,6.29651,-0.293254,206.615,208.078,01,5,22
2016-01-22 12:45:00+05:30,765,207.32,207.32,206.19,206.65,34378,0.42562,5.80851,-1.9673,206.569,207.995,01,5,22
2016-01-22 13:00:00+05:30,780,206.65,206.73,205.83,206.04,70722,0.251656,5.37615,-3.25118,206.407,207.981,01,5,22
2016-01-22 13:15:00+05:30,795,206.04,206.2,205.71,206.02,60636,0.347561,4.98919,-3.21678,206.185,208.044,01,5,22
2016-01-22 13:30:00+05:30,810,206.02,206.35,205.85,206.2,52936,0.316292,4.63661,-2.30566,206.044,208.091,01,5,22
2016-01-22 13:45:00+05:30,825,206.2,206.64,206.15,206.58,35480,0.458194,4.30747,-1.32578,205.98,208.095,01,5,22
2016-01-22 14:00:00+05:30,840,206.58,207.14,206.28,206.65,41550,0.486486,3.99924,-0.726297,205.953,208.09,01,5,22
2016-01-22 14:15:00+05:30,855,206.9,207.29,206.54,207.14,36710,0.556852,3.70348,-0.0389344,205.945,208.07,01,5,22
2016-01-22 14:30:00+05:30,870,207.14,207.22,206.68,206.94,129552,0.437907,3.42558,-0.107038,205.936,208.051,01,5,22
2016-01-22 14:45:00+05:30,885,206.94,207.24,206.71,206.73,152136,0.371333,3.16875,-0.107715,205.999,207.87,01,5,22
2016-01-22 15:00:00+05:30,900,206.77,206.88,206.09,206.8,178228,0.381412,2.9302,-0.809355,205.977,207.805,01,5,22
2016-01-22 15:15:00+05:30,915,206.83,207.8,206.39,206.99,279678,0.419453,2.70591,0.513398,205.983,207.769,01,5,22
2016-01-25 09:15:00+05:30,555,205.85,206.68,204.44,205.51,89330,0.297414,2.51884,-2.98897,205.743,207.871,01,1,25
2016-01-25 09:30:00+05:30,570,205.51,205.83,204.91,205.04,45934,0.273809,2.36626,-2.92963,205.473,207.994,01,1,25
2016-01-25 09:45:00+05:30,585,205.04,205.66,205.02,205.41,34794,0.3692,2.23207,-2.25014,205.268,208.055,01,1,25
2016-01-25 10:00:00+05:30,600,205.41,205.64,205.19,205.19,17350,0.4023,2.11461,-1.95637,205.085,208.056,01,1,25
2016-01-25 10:15:00+05:30,615,205.19,205.83,205.19,205.53,22840,0.447537,2.00362,-1.47939,204.981,207.963,01,1,25
2016-01-25 10:30:00+05:30,630,205.55,206.35,205.51,206.2,24782,0.5,1.88754,-0.607359,204.971,207.826,01,1,25
2016-01-25 10:45:00+05:30,645,206.2,206.32,205.71,205.83,18914,0.427185,1.77569,-0.621522,204.982,207.656,01,1,25
2016-01-25 11:00:00+05:30,660,205.9,205.9,204.89,204.89,55192,0.353822,1.68269,-1.70681,204.898,207.516,01,1,25
2016-01-25 11:15:00+05:30,675,204.92,205.26,204.87,205.26,14966,0.340678,1.59675,-1.71014,204.805,207.396,01,1,25
2016-01-25 11:30:00+05:30,690,205.26,205.56,205,205.36,9864,0.363794,1.51448,-1.27061,204.723,207.337,01,1,25
2016-01-25 11:45:00+05:30,705,205.36,205.49,205.3,205.49,8232,0.39161,1.4333,-0.963386,204.661,207.321,01,1,25
2016-01-25 12:00:00+05:30,720,205.53,205.55,205.14,205.26,11140,0.369048,1.35727,-1.04199,204.596,207.32,01,1,25
2016-01-25 12:15:00+05:30,735,205.26,205.6,205.17,205.47,33514,0.371187,1.28207,-0.807605,204.542,207.302,01,1,25
2016-01-25 12:30:00+05:30,750,205.47,205.68,205.23,205.45,81874,0.493244,1.20865,-0.678853,204.501,207.243,01,1,25
2016-01-25 12:45:00+05:30,765,205.45,205.47,204.83,204.92,31448,0.486667,1.14556,-1.21355,204.432,207.151,01,1,25
