Date,Open,High,Low,Close,Volume
2019-10-22 09:15:00+05:30,4165,4174.8,4147.75,4169.8,89004
2019-10-22 09:20:00+05:30,4169.8,4185.75,4166,4167.95,57620
2019-10-22 09:25:00+05:30,4167.45,4182,4158.65,4168.5,39258
2019-10-22 09:30:00+05:30,4167.1,4188,4167,4175.2,39027
2019-10-22 09:35:00+05:30,4175.25,4175.25,4164,4170,28322
2019-10-22 09:40:00+05:30,4170,4177,4166,4168.9,18509
2019-10-22 09:45:00+05:30,4168.9,4172,4157.6,4161.4,22849
2019-10-22 09:50:00+05:30,4161.5,4163.95,4150,4150,26804
2019-10-22 09:55:00+05:30,4150,4154.7,4145,4148.4,28558
2019-10-22 10:00:00+05:30,4148.95,4151.9,4141,4141,21895
2019-10-22 10:05:00+05:30,4141.05,4148.7,4135.5,4139.95,20201
2019-10-22 10:10:00+05:30,4139.65,4140.05,4136,4140,16787
2019-10-22 10:15:00+05:30,4140,4141.45,4127,4129.05,32819
2019-10-22 10:20:00+05:30,4129.1,4132.3,4124,4129.6,34367
2019-10-22 10:25:00+05:30,4128,4130,4124,4127.2,22063
2019-10-22 10:30:00+05:30,4127.5,4130,4125,4126.15,19869
2019-10-22 10:35:00+05:30,4126.2,4136.1,4125,4132.75,36393
2019-10-22 10:40:00+05:30,4132.75,4168,4132.55,4161.15,89398
2019-10-22 10:45:00+05:30,4160,4162.75,4148.05,4148.75,42505
2019-10-22 10:50:00+05:30,4149,4156.3,4146.55,4151,18774
2019-10-22 10:55:00+05:30,4151,4155,4150,4152.7,12505
2019-10-22 11:00:00+05:30,4151.2,4160,4150.9,4152.55,17691
2019-10-22 11:05:00+05:30,4155,4156.45,4150,4152.5,10005
2019-10-22 11:10:00+05:30,4151.9,4157,4150.95,4151,13807
2019-10-22 11:15:00+05:30,4151.1,4156.4,4145.1,4156.35,27189
2019-10-22 11:20:00+05:30,4155.05,4164.9,4154.4,4163.95,26975
2019-10-22 11:25:00+05:30,4163.95,4168.05,4154.15,4155,35118
2019-10-22 11:30:00+05:30,4154.25,4155.35,4143.4,4145.85,26242
2019-10-22 11:35:00+05:30,4145.85,4149.35,4143,4143,18976
2019-10-22 11:40:00+05:30,4143.25,4154.85,4141.3,4154.8,19241
2019-10-22 11:45:00+05:30,4154.85,4158.65,4144,4145,20468
2019-10-22 11:50:00+05:30,4145.45,4148,4140.95,4146.75,26207
2019-10-22 11:55:00+05:30,4147.35,4147.35,4140.35,4140.75,16370
2019-10-22 12:00:00+05:30,4140.75,4146,4138.2,4142,20402
2019-10-22 12:05:00+05:30,4140.95,4145.4,4138.1,4142.5,19164
2019-10-22 12:10:00+05:30,4142.5,4143.95,4140,4141.1,13457
2019-10-22 12:15:00+05:30,4141.1,4145,4141.1,4142,14777
2019-10-22 12:20:00+05:30,4142,4142.6,4131.55,4135,30503
2019-10-22 12:25:00+05:30,4134.9,4137.75,4132,4133.65,18473
2019-10-22 12:30:00+05:30,4133.65,4134.9,4126,4132.7,21881
2019-10-22 12:35:00+05:30,4132.65,4134.5,4125.1,4125.1,20129
2019-10-22 12:40:00+05:30,4125.3,4132.95,4124.45,4129.15,27012
2019-10-22 12:45:00+05:30,4128,4130.5,4110.7,4116.75,48687
2019-10-22 12:50:00+05:30,4117.05,4120.5,4112,4116.85,26716
2019-10-22 12:55:00+05:30,4117.25,4122,4115.25,4120.35,20859
2019-10-22 13:00:00+05:30,4120,4138.55,4116.85,4135.5,31738
2019-10-22 13:05:00+05:30,4136,4136,4115.15,4120,32645
2019-10-22 13:10:00+05:30,4120,4121,4115,4118.55,18157
2019-10-22 13:15:00+05:30,4118.5,4119.95,4106.55,4109,29313
