date,open,high,low,close,volume
2018-10-22 09:15:00+05:30,2185.1,2196,2171.5,2176.1,120779
2018-10-22 09:20:00+05:30,2178,2195.15,2162.75,2195.15,111293
2018-10-22 09:25:00+05:30,2194.5,2218.65,2190.75,2191.95,145234
2018-10-22 09:30:00+05:30,2192.9,2199.75,2175.95,2182.3,91004
2018-10-22 09:35:00+05:30,2181.1,2182.3,2163.8,2169.6,53862
2018-10-22 09:40:00+05:30,2169.95,2183.2,2164,2180.9,77708
2018-10-22 09:45:00+05:30,2180.9,2180.9,2168.8,2177,119281
2018-10-22 09:50:00+05:30,2178.4,2188,2175,2187,49041
2018-10-22 09:55:00+05:30,2187,2191.8,2183.35,2187,53272
2018-10-22 10:00:00+05:30,2188.85,2207.7,2186,2205.5,77052
2018-10-22 10:05:00+05:30,2206,2207,2200,2201.3,39327
2018-10-22 10:10:00+05:30,2202.35,2211.05,2197.2,2209.2,87943
2018-10-22 10:15:00+05:30,2209.2,2214,2196,2198,62442
2018-10-22 10:20:00+05:30,2198,2201.45,2194,2200.45,44065
2018-10-22 10:25:00+05:30,2200,2203.6,2198.2,2198.75,31234
2018-10-22 10:30:00+05:30,2198.75,2209.95,2194.85,2206.2,69135
2018-10-22 10:35:00+05:30,2206,2208.15,2194,2196,36553
2018-10-22 10:40:00+05:30,2195.9,2200,2191,2191.95,39018
2018-10-22 10:45:00+05:30,2191.1,2198.8,2190,2194.5,20371
2018-10-22 10:50:00+05:30,2194.5,2195,2181.75,2185.25,33255
2018-10-22 10:55:00+05:30,2185.25,2192.2,2185.2,2185.75,15306
2018-10-22 11:00:00+05:30,2185.75,2192.75,2185.75,2192.75,17215
2018-10-22 11:05:00+05:30,2192.25,2196.6,2190,2190.55,12292
2018-10-22 11:10:00+05:30,2190.55,2192.5,2189,2189,8729
2018-10-22 11:15:00+05:30,2189,2192,2185,2192,15829
2018-10-22 11:20:00+05:30,2192,2195,2188.2,2191,12655
2018-10-22 11:25:00+05:30,2191,2193,2188.2,2190,8332
2018-10-22 11:30:00+05:30,2189.95,2193.65,2186.15,2188.4,18596
2018-10-22 11:35:00+05:30,2188.4,2189,2183,2186.5,20970
2018-10-22 11:40:00+05:30,2186.5,2191.25,2184,2191.25,20396
2018-10-22 11:45:00+05:30,2191.25,2195.8,2190,2191.5,25456
