date,open,high,low,close,volume
2019-12-23 09:15:00+05:30,4138.6,4145.1,4130,4143.7,36958
2019-12-23 09:20:00+05:30,4144,4159.9,4142.55,4155,45801
2019-12-23 09:25:00+05:30,4157.2,4158.8,4151.55,4153.15,30238
2019-12-23 09:30:00+05:30,4153.15,4157,4147,4154,22618
2019-12-23 09:35:00+05:30,4154,4155,4147.95,4152.6,19093
2019-12-23 09:40:00+05:30,4152.6,4154.4,4149.05,4153,16781
2019-12-23 09:45:00+05:30,4153.5,4159,4151.05,4158.15,13944
2019-12-23 09:50:00+05:30,4158.45,4172.7,4158.05,4170,66016
2019-12-23 09:55:00+05:30,4171.1,4175.45,4170,4175.45,38870
2019-12-23 10:00:00+05:30,4175,4182,4174,4180.95,48671
2019-12-23 10:05:00+05:30,4180,4184,4172.15,4174,41995
2019-12-23 10:10:00+05:30,4174,4178.95,4173.1,4177.5,14993
2019-12-23 10:15:00+05:30,4177.95,4178,4173.4,4173.4,13487
2019-12-23 10:20:00+05:30,4173.4,4183.1,4171.1,4181.75,33144
2019-12-23 10:25:00+05:30,4181.6,4182,4174.6,4178,11765
2019-12-23 10:30:00+05:30,4178.95,4182,4174,4177.7,15423
2019-12-23 10:35:00+05:30,4177.7,4177.7,4173.85,4174,6135
2019-12-23 10:40:00+05:30,4174,4174,4167,4169.85,19088
2019-12-23 10:45:00+05:30,4169.85,4170.05,4162.25,4164.1,11980
2019-12-23 10:50:00+05:30,4164,4168,4162.2,4166.3,11753
2019-12-23 10:55:00+05:30,4167,4170,4162.6,4167.5,13144
2019-12-23 11:00:00+05:30,4167.5,4175,4165.3,4172.5,6578
2019-12-23 11:05:00+05:30,4172.5,4174.25,4172.4,4173.7,5430
2019-12-23 11:10:00+05:30,4173.7,4174.95,4169,4171.55,8034
2019-12-23 11:15:00+05:30,4172,4174,4167.15,4168.5,8673
2019-12-23 11:20:00+05:30,4168.5,4172.1,4168.35,4172.05,4509
2019-12-23 11:25:00+05:30,4172.05,4173.1,4170.4,4172,4750
2019-12-23 11:30:00+05:30,4172,4175.1,4171.95,4175.1,5591
2019-12-23 11:35:00+05:30,4175.1,4180.8,4175,4177.8,12472
2019-12-23 11:40:00+05:30,4177.9,4178.6,4175.5,4175.7,8105
2019-12-23 11:45:00+05:30,4175.7,4176,4175,4176,5291
2019-12-23 11:50:00+05:30,4176,4179,4175.6,4178.1,6504
2019-12-23 11:55:00+05:30,4178.1,4179.05,4175.8,4176.85,6164
2019-12-23 12:00:00+05:30,4176.85,4177,4171.5,4176.05,7145
2019-12-23 12:05:00+05:30,4176.05,4178.9,4174.6,4176.65,10572
2019-12-23 12:10:00+05:30,4176.6,4178,4175.55,4178,9319
2019-12-23 12:15:00+05:30,4178,4183.75,4178,4180,21296
2019-12-23 12:20:00+05:30,4180,4182,4178,4178,8055
2019-12-23 12:25:00+05:30,4178,4178.45,4177,4177.95,4418
2019-12-23 12:30:00+05:30,4177.9,4177.95,4172.05,4175,7172
2019-12-23 12:35:00+05:30,4175,4177,4173,4176.8,7301
2019-12-23 12:40:00+05:30,4175.05,4179.95,4175.05,4179.8,5748
2019-12-23 12:45:00+05:30,4179.8,4179.95,4174,4177.75,4999
