date,open,high,low,close,volume
2020-04-22 09:15:00+05:30,2059.95,2082.95,2050,2063.8,310978
2020-04-22 09:20:00+05:30,2064.8,2064.8,2023.1,2033.95,379192
2020-04-22 09:25:00+05:30,2033.9,2046.6,2029.3,2035.2,195768
2020-04-22 09:30:00+05:30,2035,2080.95,2035,2059,323000
2020-04-22 09:35:00+05:30,2059,2069,2048.35,2050.45,120623
2020-04-22 09:40:00+05:30,2050.4,2054.65,2040.5,2040.55,100562
2020-04-22 09:45:00+05:30,2041.05,2050,2040,2044.1,81613
2020-04-22 09:50:00+05:30,2044.05,2052.1,2041.05,2050.9,59990
2020-04-22 09:55:00+05:30,2050.4,2075,2050.4,2069.1,245748
2020-04-22 10:00:00+05:30,2067.85,2072,2055.6,2071,115474
2020-04-22 10:05:00+05:30,2068.85,2069.9,2061,2067.7,61357
2020-04-22 10:10:00+05:30,2067.8,2076.7,2063.5,2073.45,87674
2020-04-22 10:15:00+05:30,2073,2088.8,2068.85,2074.9,211484
2020-04-22 10:20:00+05:30,2075.9,2099.7,2072,2090.6,134304
2020-04-22 10:25:00+05:30,2092.7,2124.4,2090.7,2121.1,339905
2020-04-22 10:30:00+05:30,2121.1,2122.3,2110,2117.95,204669
2020-04-22 10:35:00+05:30,2117.8,2131.95,2107,2112.7,312178
2020-04-22 10:40:00+05:30,2111.15,2127.5,2111.1,2117,127638
2020-04-22 10:45:00+05:30,2115.4,2116.8,2103.85,2113.45,114735
2020-04-22 10:50:00+05:30,2114.5,2116.25,2106,2106.7,77122
2020-04-22 10:55:00+05:30,2106.2,2110,2092,2110,135910
2020-04-22 11:00:00+05:30,2111.1,2114.55,2101.2,2110.1,76651
2020-04-22 11:05:00+05:30,2111,2117.35,2107.1,2110.65,75917
2020-04-22 11:10:00+05:30,2110.95,2111.3,2100.05,2107.95,66004
2020-04-22 11:15:00+05:30,2107.95,2115,2106.05,2108.1,80966
2020-04-22 11:20:00+05:30,2108.1,2111,2092.55,2093.7,115803
2020-04-22 11:25:00+05:30,2094.15,2095,2085,2089.8,177741
