Date,Open,High,Low,Close,Adj Close,Volume
1995-05-26,4.200000,4.500000,3.850000,4.000000,0.865968,0
1995-05-29,3.900000,4.025000,3.875000,3.925000,0.849731,0
1995-05-30,3.900000,4.000000,3.900000,3.950000,0.855143,0
1995-05-31,3.975000,4.025000,3.950000,4.025000,0.871380,0
1996-04-02,3.300000,3.500000,3.300000,3.475000,0.752310,701000
1996-04-03,3.550000,3.900000,3.475000,3.475000,0.752310,985000
1996-04-04,3.450000,3.475000,3.375000,3.450000,0.746897,620000
1996-04-05,3.450000,3.450000,3.350000,3.425000,0.741485,578000
1996-04-08,3.475000,3.525000,3.425000,3.450000,0.746897,479000
1996-04-09,3.475000,3.475000,3.375000,3.400000,0.736073,587000
1996-04-10,3.400000,3.400000,3.275000,3.300000,0.714424,591000
1996-04-11,3.250000,3.325000,3.225000,3.300000,0.714424,304000
1996-04-12,3.300000,3.350000,3.250000,3.350000,0.725248,533000
1996-04-15,3.350000,3.450000,3.350000,3.400000,0.736073,628000
1996-04-16,3.400000,3.450000,3.350000,3.350000,0.725248,827000
1996-04-17,3.400000,3.500000,3.400000,3.500000,0.757722,10592000
1996-04-18,3.550000,3.650000,3.500000,3.600000,0.779371,1998000
1996-04-22,3.900000,4.200000,3.750000,3.750000,0.811845,5113000
1996-04-23,3.700000,3.850000,3.550000,3.775000,0.817257,2415000
1996-04-24,3.900000,4.000000,3.800000,3.825000,0.828082,4489000
1996-04-25,3.950000,3.950000,3.725000,3.750000,0.811845,3117000
1996-04-26,3.775000,3.775000,3.550000,3.650000,0.790196,2455000
1996-04-30,3.700000,3.700000,3.575000,3.600000,0.779371,1132000
1996-05-02,3.625000,3.625000,3.525000,3.550000,0.768547,595000
1996-05-03,3.550000,3.550000,3.450000,3.500000,0.757722,641000
1996-05-06,3.450000,3.450000,3.350000,3.350000,0.725248,817000
1996-05-08,3.400000,3.550000,3.300000,3.500000,0.757722,554000
